order_id,product_id,quantity
1,15,1
1,39,4
2,71,1
3,77,4
3,51,1
4,6,1
5,17,1
5,54,3
5,74,2
5,46,3
6,12,0
6,43,4
7,9999,1
7,34,2
7,13,1
8,64,1
8,35,3
9,32,1
9,21,3
9,73,3
9,69,2
10,52,2
10,72,2
10,27,2
11,2,1
12,63,2
13,12,2
13,22,3
14,55,4
15,67,1
15,15,2
15,38,2
15,73,2
15,16,1
16,10,3
16,77,1
17,28,2
18,44,2
18,11,1
18,60,3
19,53,2
19,5,2
19,12,2
19,32,3
20,27,2
20,26,3
21,1,4
22,64,3
23,78,1
24,7,4
24,47,1
25,75,4
25,21,2
25,64,3
26,7,2
26,60,4
26,76,4
27,39,3
27,76,2
27,69,2
27,15,2
27,9,4
28,31,4
28,64,3
28,74,4
28,7,4
28,51,1
29,44,4
29,77,3
30,39,4
31,3,3
31,15,4
31,61,2
31,54,3
31,53,2
32,46,4
33,80,1
33,5,3
33,38,2
33,43,4
34,69,1
34,31,4
34,16,2
34,28,4
35,43,2
35,20,2
35,47,3
36,51,2
36,40,2
36,64,4
36,41,1
36,65,1
37,14,4
37,32,3
38,13,4
38,71,2
38,66,3
39,10,4
39,66,3
39,80,3
39,43,3
40,49,4
40,67,4
40,8,3
41,8,1
42,49,4
42,58,1
42,40,3
42,66,4
42,20,2
43,35,2
44,76,1
44,74,4
45,76,2
45,36,3
46,4,4
46,54,4
46,71,3
46,53,3
46,11,3
47,74,1
47,64,3
48,26,1
48,67,2
49,67,1
49,22,3
49,40,4
50,24,4
50,35,2
50,40,3
51,52,4
51,14,3
51,34,4
51,47,4
52,15,4
52,27,4
52,80,2
53,6,4
53,20,4
53,36,1
54,51,3
54,47,1
54,68,3
55,2,3
55,6,3
55,69,3
55,73,3
56,9,1
56,71,4
57,40,2
58,16,4
58,52,3
59,51,2
59,64,2
59,44,4
59,45,3
60,28,1
60,44,4
61,65,1
62,31,3
62,74,2
62,56,2
62,52,2
62,28,2
63,16,4
63,37,3
63,5,1
63,49,3
63,17,2
64,40,3
64,13,1
65,3,1
65,67,3
65,10,2
66,59,2
67,36,1
67,65,1
67,8,4
67,58,1
68,29,2
68,38,2
68,44,2
68,43,3
69,69,3
69,4,4
69,29,3
69,23,1
69,65,3
70,75,1
71,50,2
71,66,1
71,76,3
71,53,3
72,10,2
72,62,4
72,74,4
73,59,4
73,25,2
73,44,3
73,79,2
73,15,1
74,3,3
74,57,1
74,26,1
74,34,1
74,72,3
75,54,3
75,2,3
76,73,3
76,41,3
77,6,2
78,54,1
78,4,3
78,59,1
79,47,4
79,61,1
80,41,1
80,61,3
80,17,4
81,46,1
81,33,2
82,67,2
82,56,4
82,50,2
83,2,2
83,15,4
84,2,1
85,6,1
85,27,3
85,74,3
85,69,4
86,27,4
86,1,1
86,32,1
86,46,2
87,57,4
87,59,1
88,7,4
88,61,4
88,22,2
88,52,1
88,31,4
89,49,4
89,9,2
89,31,1
89,30,2
89,1,1
90,1,4
90,5,1
91,31,4
91,29,3
91,6,1
91,72,2
92,3,2
92,62,2
92,14,2
92,13,3
93,66,4
94,10,1
95,11,1
95,65,1
95,72,3
95,80,4
95,79,4
96,72,2
97,24,4
98,16,4
98,27,1
99,12,1
99,70,2
99,67,1
99,46,1
99,13,3
100,39,2
100,40,4
100,38,3
101,1,1
101,11,1
102,77,2
103,50,2
103,59,1
103,53,1
103,79,1
103,74,1
104,56,2
104,8,3
105,33,1
105,18,3
105,39,4
105,45,1
106,57,4
106,21,3
107,32,1
107,2,3
107,53,2
108,46,1
108,43,2
108,1,1
108,31,1
108,44,3
109,44,1
109,47,4
109,9,2
109,69,2
110,7,1
110,69,2
110,32,2
110,53,3
110,67,1
111,56,4
111,16,2
111,23,3
112,32,1
112,44,2
112,33,3
112,4,2
113,77,1
114,39,1
114,10,1
114,9,3
114,69,1
115,72,4
115,15,3
116,23,4
116,13,4
116,33,2
116,39,4
117,59,3
118,27,2
118,4,1
118,50,2
119,43,1
119,36,2
119,80,1
120,21,3
121,24,4
121,6,1
121,19,1
122,33,2
122,12,1
122,73,1
122,75,3
123,35,2
124,47,2
124,70,3
124,23,3
125,47,1
125,22,2
125,67,2
126,49,2
126,4,2
126,29,4
127,31,1
127,61,1
127,34,1
128,48,4
128,31,4
128,37,4
128,4,1
129,59,4
130,52,1
131,62,4
131,23,1
131,30,1
131,55,2
132,35,3
133,61,1
133,31,1
133,44,2
133,72,4
134,73,4
134,79,1
135,56,1
136,67,3
136,22,2
137,11,4
138,60,1
138,59,4
138,17,3
139,27,3
140,9,4
140,16,3
140,61,2
141,2,2
141,66,4
141,4,2
141,61,3
141,5,2
142,42,2
142,6,1
142,48,4
142,24,1
143,28,2
143,5,2
143,37,3
143,57,3
144,26,1
144,9,3
144,52,4
144,4,2
144,22,1
145,48,2
145,66,2
145,63,4
145,28,2
146,59,3
146,35,1
146,29,4
147,44,1
147,53,3
148,31,2
148,1,3
149,59,2
149,61,3
149,72,2
149,71,1
149,50,3
150,20,3
150,18,1
150,67,2
150,75,2
151,22,4
151,11,3
151,75,2
151,58,2
152,53,4
152,13,1
152,7,1
153,10,2
153,37,4
153,23,1
154,49,4
154,39,2
154,66,4
154,75,3
154,15,2
155,10,4
155,76,2
155,33,3
155,74,2
156,47,1
156,68,4
156,33,2
156,10,3
157,57,4
158,24,2
158,60,4
158,42,1
159,70,4
159,53,2
160,48,4
160,47,4
161,17,3
161,29,1
161,28,1
162,18,4
162,52,4
162,79,3
162,54,3
162,10,3
163,41,2
163,23,4
163,62,3
163,3,1
164,71,2
164,27,3
164,32,3
165,21,4
165,9,1
165,77,2
166,77,4
167,35,1
167,4,2
167,9,1
167,1,2
167,23,2
168,34,1
168,31,1
169,11,1
170,20,3
170,61,1
171,45,3
171,41,3
171,38,1
171,54,1
171,62,3
172,34,1
172,12,1
173,17,4
173,43,2
173,44,2
174,72,3
174,7,1
174,20,2
174,55,3
174,50,1
175,13,2
175,9,4
175,76,4
175,20,2
176,12,1
176,61,2
176,73,2
176,56,1
176,18,4
177,34,4
177,65,3
178,4,2
179,29,3
180,59,2
180,79,2
181,40,2
181,34,2
182,29,4
183,40,3
183,51,1
183,41,3
184,38,1
185,66,2
185,31,2
185,20,4
186,26,3
187,65,3
188,68,1
188,40,4
188,10,4
188,14,4
189,33,2
190,41,4
190,62,3
190,54,1
190,48,1
191,12,2
191,36,1
191,18,4
191,5,1
192,9,1
192,44,2
192,56,4
193,7,1
194,18,1
194,68,3
194,14,2
195,78,4
195,53,4
195,22,3
195,31,3
195,23,1
196,59,1
196,71,1
197,50,2
197,61,3
197,29,4
198,26,1
198,17,3
198,25,2
198,63,1
199,66,3
199,61,3
199,20,2
200,25,1
200,54,2
200,8,3
201,33,1
202,42,2
203,35,3
203,47,3
203,39,4
204,37,4
204,15,2
204,30,1
204,2,2
205,40,3
205,33,4
206,40,3
206,18,1
206,31,3
206,70,2
207,18,4
207,70,3
207,7,4
208,28,1
208,44,1
208,47,1
208,32,3
209,4,2
210,10,4
210,79,1
210,9,2
211,52,3
211,40,4
211,62,3
211,49,3
212,46,1
212,74,4
212,14,4
213,2,3
213,30,1
213,27,1
213,47,4
214,73,1
214,56,2
214,4,3
214,17,3
214,55,1
215,78,2
215,8,3
216,21,2
216,49,3
216,10,3
216,54,3
217,24,2
217,63,4
217,70,2
217,65,2
217,2,1
218,15,2
218,73,1
218,47,2
218,7,4
218,8,2
219,28,4
219,19,2
219,20,3
219,57,3
219,4,2
220,28,1
220,66,1
220,60,3
220,7,2
221,69,2
221,33,2
222,78,2
222,23,1
223,77,1
223,28,4
223,35,1
223,55,4
224,9,4
225,41,2
225,59,2
226,44,2
226,53,4
226,32,3
226,26,4
226,30,3
227,21,1
227,28,2
227,58,2
228,41,4
228,16,4
228,65,4
228,38,4
228,24,4
229,61,4
229,67,2
229,26,2
230,10,4
230,46,1
231,13,3
231,46,4
231,55,2
231,43,4
232,71,4
232,1,4
232,6,3
232,62,2
232,46,1
233,47,3
233,52,2
234,21,2
234,71,3
234,52,1
235,4,3
235,79,4
236,64,1
236,36,3
236,47,3
236,67,4
237,43,3
238,79,1
238,78,3
238,73,4
238,34,1
239,69,3
239,2,3
239,36,4
240,49,1
240,3,2
241,8,2
241,18,3
242,29,4
242,8,3
243,14,2
244,71,1
244,12,4
244,20,4
244,56,4
244,25,1
245,77,3
245,17,1
246,8,2
247,5,1
248,22,2
248,15,1
248,60,2
249,78,2
249,46,3
250,56,3
251,53,4
251,33,1
251,58,2
251,30,2
252,20,1
252,45,4
253,80,1
253,5,4
253,57,4
253,71,1
253,74,3
254,66,2
254,19,4
254,7,2
254,72,4
255,1,1
255,65,3
256,25,3
256,73,4
256,49,2
256,53,3
257,25,1
257,35,3
257,28,3
257,79,3
258,44,3
258,21,1
258,74,4
258,70,1
258,63,2
259,11,4
259,74,1
259,54,1
259,38,2
260,49,3
261,78,4
262,33,1
262,11,1
262,58,4
262,48,3
263,9,3
263,34,3
264,66,4
264,65,3
265,41,1
265,52,2
265,61,3
265,16,1
266,70,3
266,17,1
266,46,4
266,49,4
266,32,1
267,11,1
268,60,4
268,77,1
269,44,2
269,78,1
269,24,2
270,34,4
270,44,2
270,22,3
270,21,3
270,29,1
271,21,3
271,79,1
272,69,1
272,80,4
272,57,4
272,28,3
273,50,2
274,62,2
274,68,1
274,26,3
274,34,4
275,18,4
275,61,4
276,73,4
276,48,3
276,13,2
277,13,1
277,48,2
277,49,4
278,37,2
278,43,3
278,50,1
278,74,3
278,71,2
279,16,3
279,37,4
279,59,2
279,48,2
280,25,3
280,78,2
280,39,1
281,2,2
281,27,1
281,71,2
281,10,1
282,13,1
282,25,3
282,75,1
283,12,1
283,36,4
283,41,3
283,73,2
284,74,2
285,29,2
285,14,1
286,75,4
286,66,4
286,42,1
287,77,4
288,35,2
289,47,4
289,3,4
289,4,2
289,7,3
290,71,3
290,18,3
290,46,2
291,21,2
291,20,1
292,16,1
292,21,4
292,40,4
292,65,4
292,73,1
293,31,4
294,31,2
294,1,3
295,12,4
295,62,4
296,61,1
296,6,4
296,29,2
297,78,2
298,9,1
298,34,3
299,44,1
300,40,2
300,10,2
300,66,2
300,58,3
301,42,2
301,14,1
301,66,4
301,55,1
302,8,1
302,37,3
303,14,2
304,52,3
304,22,4
304,30,1
304,27,2
304,56,4
305,29,4
306,26,4
307,69,3
308,43,3
308,32,2
308,35,1
309,54,1
309,56,1
309,9,1
309,20,2
310,13,4
310,49,3
310,65,2
311,64,4
312,9,2
312,76,2
312,61,1
313,56,1
313,17,1
313,4,1
313,24,3
314,7,3
314,29,3
315,47,3
315,53,2
316,57,1
316,23,4
316,1,2
316,17,2
317,15,2
317,49,1
317,12,2
318,46,1
319,76,4
319,41,2
319,72,3
320,27,3
320,62,2
320,44,3
320,17,2
320,48,1
321,56,3
321,77,3
321,24,1
321,6,4
322,67,4
322,61,3
322,32,3
323,5,2
323,33,4
323,62,3
323,42,3
324,47,4
324,12,3
324,27,3
324,30,1
325,71,3
325,8,4
325,44,1
326,78,3
326,68,3
326,40,4
326,30,1
327,63,3
327,14,2
328,63,3
328,6,4
328,17,4
329,54,2
329,20,2
329,41,2
330,36,3
330,8,1
330,32,2
331,55,4
332,20,1
332,48,1
333,57,3
333,66,1
333,51,4
334,24,1
334,49,3
334,2,3
334,48,2
335,80,2
336,3,2
336,75,3
337,26,2
338,61,3
338,76,1
339,74,3
340,78,2
340,12,2
340,66,4
340,59,3
340,16,4
341,2,3
341,30,4
341,15,2
342,32,4
342,43,1
342,76,3
342,31,3
343,62,4
343,60,4
343,2,2
343,7,2
344,61,3
344,71,4
344,50,1
344,21,3
344,14,4
345,1,1
345,9,1
346,48,4
346,1,4
347,59,2
347,38,1
347,45,4
347,67,1
347,48,3
348,70,4
348,27,3
348,29,3
349,79,1
349,72,3
349,73,1
349,36,3
349,37,3
350,43,3
350,15,2
351,3,1
351,47,2
351,29,2
351,52,4
352,52,2
352,34,4
352,30,2
353,8,2
353,4,3
353,49,4
354,64,4
355,70,1
355,23,2
356,34,2
356,65,2
357,41,4
357,38,1
357,71,2
357,69,3
357,18,3
358,26,2
358,70,4
358,79,3
359,17,2
359,47,1
359,64,1
359,58,1
359,71,1
360,66,1
360,19,1
360,35,2
360,9,4
360,23,1
361,69,3
361,31,3
361,24,1
361,26,2
362,48,1
362,9,1
362,10,1
363,38,3
363,36,1
364,57,3
364,78,1
365,37,2
366,12,2
366,71,4
366,62,4
367,59,3
367,26,2
367,29,2
367,36,3
368,6,4
368,29,3
368,13,4
368,28,3
369,63,2
369,4,2
369,80,3
369,46,4
369,52,4
370,68,4
370,20,2
371,65,3
371,27,1
371,26,3
371,32,3
372,16,4
372,62,2
372,37,3
373,1,2
373,39,2
373,33,3
373,18,1
374,60,2
374,56,4
374,25,2
374,13,2
375,29,3
375,56,2
375,50,1
376,74,2
376,25,4
377,69,1
377,25,1
377,57,2
377,65,4
377,63,1
378,14,2
378,69,2
378,56,3
378,28,3
378,40,1
379,9,3
379,21,1
379,40,1
379,20,1
380,32,1
380,27,3
381,12,2
381,34,3
381,63,1
382,60,2
382,29,4
382,48,1
383,2,3
383,15,1
384,63,3
384,3,1
384,29,3
384,27,4
385,69,4
385,51,1
385,29,4
385,40,4
386,68,4
386,61,2
386,36,1
386,23,2
386,53,4
387,32,3
387,72,4
387,66,1
387,16,1
387,11,3
388,21,3
388,25,4
388,61,2
388,17,2
389,1,4
389,38,3
389,3,2
389,49,3
390,17,1
391,37,1
392,40,1
392,70,1
392,21,1
393,4,4
393,48,4
393,23,1
394,67,4
395,63,1
395,57,4
395,50,2
396,26,4
396,42,3
396,62,1
396,49,1
397,34,4
397,26,3
397,20,3
397,57,2
398,67,2
398,22,1
398,55,1
398,20,4
398,35,1
399,79,4
400,76,1
400,57,1
400,9,4
401,65,3
401,3,2
401,49,4
402,3,1
403,65,1
403,29,1
404,25,3
404,78,4
404,67,4
404,10,3
404,18,2
405,7,4
405,73,3
405,13,1
406,13,4
407,74,2
408,36,4
408,64,1
408,38,3
408,24,4
408,74,3
409,71,1
409,36,1
409,66,4
410,30,3
410,48,3
410,15,3
411,32,3
411,53,2
411,66,4
412,33,2
412,79,1
412,27,1
412,18,3
413,47,2
413,34,4
414,23,2
414,13,4
414,39,4
414,14,1
415,51,2
415,55,3
416,37,2
416,52,4
416,73,2
416,66,3
416,51,4
417,11,2
418,72,2
419,35,3
419,59,3
419,61,3
