order_id,customer_id,order_date,order_status,payment_method
1,32,2023-06-08,CANCELLED,COD
2,37,2023-09-17,CANCELLED,NETBANKING
3,57,2023-04-07,PLACED,NETBANKING
4,42,2024-11-14,DONE,CARD
5,111,2024-06-11,SHIPPED,NETBANKING
6,51,2024-01-01,PLACED,COD
7,5,2023-12-13,SHIPPED,NETBANKING
8,5,2024-01-29,PLACED,WALLET
9,76,2024-06-08,RETURNED,
10,59,2023-04-18,PLACED,COD
11,11,2023-07-05,PLACED,CARD
12,109,2024-11-23,DELIVERED,COD
13,104,2023-06-02,SHIPPED,WALLET
14,147,2024-05-21,DELIVERED,UPI
15,72,2023-02-28,DELIVERED,CARD
16,109,2023-03-16,PLACED,UPI
17,23,2023-09-24,PLACED,CARD
18,18,2023-09-28,CANCELLED,NETBANKING
19,3,2023-12-14,RETURNED,NETBANKING
20,69,2024-09-28,PLACED,WALLET
21,62,2023-04-23,RETURNED,COD
22,13,2023-07-05,PLACED,COD
23,79,2024-06-27,DELIVERED,COD
24,115,2024-05-27,DELIVERED,COD
25,89,2023-01-19,RETURNED,UPI
26,4,2023-01-19,DELIVERED,WALLET
27,49,2024-06-10,SHIPPED,NETBANKING
28,28,2024-11-05,DELIVERED,NETBANKING
29,127,2024-07-13,DELIVERED,NETBANKING
30,130,2023-11-12,DELIVERED,CARD
31,88,2023-07-23,DELIVERED,CARD
32,104,2023-12-22,RETURNED,CARD
33,4,2023-03-14,SHIPPED,COD
34,111,2023-06-17,PLACED,NETBANKING
35,130,2024-11-17,RETURNED,WALLET
36,63,2024-12-10,PLACED,NETBANKING
37,48,2023-06-11,PLACED,UPI
38,68,2024-01-08,RETURNED,WALLET
39,83,2023-09-08,PLACED,COD
40,56,2024-01-01,PLACED,COD
41,98,2023-03-27,SHIPPED,WALLET
42,52,2023-09-12,SHIPPED,UPI
43,24,2023-09-28,DELIVERED,CARD
44,103,2024-08-23,PLACED,UPI
45,77,2023-11-08,SHIPPED,UPI
46,150,2024-06-25,CANCELLED,CARD
47,100,2023-11-30,DELIVERED,NETBANKING
48,39,2023-10-18,DELIVERED,CARD
49,12,2025-01-02,CANCELLED,NETBANKING
50,130,2023-05-23,CANCELLED,WALLET
51,146,2023-01-17,DELIVERED,WALLET
52,59,2023-03-29,PLACED,CARD
53,93,2023-04-18,PLACED,NETBANKING
54,143,2023-02-21,SHIPPED,WALLET
55,63,2024-05-16,PLACED,NETBANKING
56,18,2024-05-30,CANCELLED,UPI
57,135,2023-03-09,DELIVERED,NETBANKING
58,65,2023-03-18,DELIVERED,CARD
59,53,2023-08-25,DELIVERED,NETBANKING
60,127,2024-01-27,PLACED,COD
61,12,2024-09-23,SHIPPED,CARD
62,20,2024-09-06,PLACED,COD
63,78,2024-09-28,SHIPPED,UPI
64,124,2023-03-04,SHIPPED,UPI
65,56,2024-11-22,SHIPPED,WALLET
66,74,2024-04-20,SHIPPED,UPI
67,141,2023-07-24,PLACED,UPI
68,122,2023-01-18,PLACED,UPI
69,130,2024-04-05,RETURNED,NETBANKING
70,54,2023-08-04,PLACED,UPI
71,37,2024-06-20,PLACED,COD
72,34,2024-09-09,DELIVERED,WALLET
73,72,2023-04-26,DELIVERED,CARD
