order_id,product_id,quantity
1,8,3
1,48,1
1,5,4
1,31,2
1,29,1
2,20,4
2,30,4
2,42,4
2,2,1
2,4,4
3,5,2
3,58,1
3,6,2
3,21,3
4,41,4
4,38,3
4,36,4
4,46,4
4,21,1
5,55,2
6,29,3
6,57,4
6,15,4
6,27,4
7,21,4
8,43,2
8,17,4
8,24,1
9,54,1
10,28,1
11,52,1
11,9,3
11,36,1
12,23,4
12,56,1
12,43,3
12,49,3
13,7,2
13,37,2
13,33,4
14,55,3
14,7,3
15,49,3
16,15,1
16,52,3
16,28,1
16,55,2
16,36,3
17,59,1
17,22,2
17,23,2
18,43,1
18,26,1
18,5,2
18,10,4
18,48,4
19,22,3
19,11,1
19,24,1
19,20,2
20,49,1
20,40,1
21,29,4
21,43,4
21,28,4
22,14,1
22,49,3
22,33,4
23,19,4
24,43,1
24,20,1
24,3,2
24,15,3
24,26,2
25,49,3
25,17,3
26,1,4
27,12,2
27,9,3
27,25,1
27,35,4
28,28,1
29,59,4
29,5,4
29,56,4
29,21,3
30,26,1
31,11,4
31,52,3
31,40,1
32,55,4
32,7,1
32,16,4
32,28,3
33,15,2
33,22,1
33,50,1
34,33,3
34,13,2
34,58,2
34,50,1
34,23,2
35,13,2
35,12,1
35,39,2
36,30,4
36,49,3
36,37,3
36,38,2
37,5,3
37,31,3
37,29,1
37,41,3
38,5,1
38,20,3
38,30,3
38,29,1
38,3,1
39,39,1
39,33,4
39,25,2
39,30,3
39,38,4
40,10,3
40,4,1
40,29,2
40,7,1
40,52,2
41,29,3
41,34,3
41,40,3
41,11,4
42,50,1
42,22,3
42,44,1
42,39,3
43,36,4
44,17,2
44,47,3
44,55,1
45,43,4
45,10,2
45,59,1
45,23,3
45,20,4
46,53,1
46,9,4
46,43,3
47,24,3
48,14,4
48,22,2
49,9,1
49,10,3
50,33,1
51,57,2
51,50,4
51,40,2
52,12,2
52,54,4
53,27,3
54,29,3
54,40,4
55,35,3
55,16,4
56,24,4
56,44,4
57,50,4
57,25,2
57,33,2
58,9,4
58,56,3
58,17,1
58,4,1
58,42,3
59,49,2
60,29,2
60,58,4
60,33,1
61,53,3
61,29,1
62,4,2
62,26,4
62,33,1
62,24,3
63,2,1
63,21,3
64,9,3
64,3,4
65,49,4
65,46,4
66,1,2
66,58,2
66,6,4
66,2,1
66,17,3
67,20,1
67,8,2
68,41,1
68,51,1
68,40,4
68,30,1
69,37,4
69,16,1
69,46,3
69,10,2
69,19,4
70,43,3
70,6,1
71,35,4
71,33,4
71,51,1
71,36,4
71,2,3
72,48,1
72,2,3
72,23,2
73,50,3
74,3,3
74,23,2
75,45,2
75,31,1
75,41,4
75,12,1
76,13,2
76,3,1
76,51,3
77,33,4
77,26,3
77,53,1
78,19,1
78,23,3
79,8,4
79,52,4
79,24,4
80,22,4
80,12,3
80,32,3
80,45,1
81,6,2
81,28,3
81,39,3
81,53,1
82,21,3
83,29,4
83,39,2
83,46,4
84,29,3
84,3,4
84,47,3
85,5,4
86,33,2
86,52,1
86,48,2
87,44,1
87,51,2
87,29,3
87,3,3
87,9,4
88,3,3
88,39,3
88,10,4
88,44,1
88,29,2
89,24,2
89,26,1
89,21,1
89,42,2
89,18,4
90,25,3
90,59,4
90,36,2
90,8,3
90,17,4
91,8,1
91,9,4
92,58,4
92,46,1
93,43,1
93,23,3
93,46,3
94,46,2
94,60,3
95,15,2
95,8,4
95,13,1
95,51,3
95,9,3
96,52,1
96,36,1
96,9,3
96,40,4
97,34,1
97,27,2
97,50,3
97,53,1
98,30,2
98,44,2
98,34,2
98,23,4
99,59,2
99,56,3
99,4,2
99,54,2
99,8,3
100,23,3
100,34,1
101,13,3
101,41,2
101,36,3
102,35,2
102,6,2
102,33,3
102,42,1
102,11,1
103,3,3
104,50,4
104,37,1
105,57,3
105,41,4
105,35,2
105,19,4
106,30,1
106,5,2
106,45,4
107,31,2
107,30,3
107,14,3
107,22,3
108,9,1
108,49,3
108,24,2
108,33,4
109,18,4
110,10,1
110,7,3
111,56,2
111,40,3
111,27,3
111,16,2
112,32,4
112,33,4
113,32,4
113,2,4
113,6,2
114,38,1
114,23,1
115,32,4
115,39,3
115,57,1
116,28,2
117,47,4
117,24,3
117,49,1
118,4,3
118,37,3
118,36,1
118,13,4
119,29,1
119,49,2
119,36,1
119,18,4
119,53,3
120,36,2
120,24,2
120,49,4
121,3,4
121,9,4
121,46,2
121,22,2
121,52,3
122,21,3
122,11,3
122,26,4
122,40,3
122,48,4
123,24,3
124,27,3
125,39,4
126,42,2
126,51,1
126,50,4
127,34,4
127,41,2
128,3,1
128,37,2
129,29,3
130,10,4
130,27,4
130,45,1
130,14,2
131,14,4
131,36,3
131,21,2
131,43,4
131,31,3
132,23,3
132,44,4
132,50,2
132,56,2
132,47,3
133,20,2
133,15,4
133,50,3
133,19,4
133,46,3
134,60,1
134,51,4
134,47,4
134,18,3
134,19,2
135,3,1
135,19,3
135,46,4
136,48,2
136,31,3
136,14,3
137,7,2
137,40,2
138,43,2
139,4,4
139,7,3
140,7,1
140,44,2
140,50,4
140,9,4
141,42,3
141,13,3
141,49,1
141,19,1
142,15,1
142,35,2
142,48,4
142,47,2
142,55,1
143,51,3
143,32,1
143,12,1
143,60,3
144,39,4
144,7,4
144,60,2
144,22,4
144,19,3
145,52,3
145,8,2
146,42,1
146,17,3
146,46,3
146,12,2
147,40,4
147,55,4
148,21,2
148,6,2
148,26,4
148,43,3
148,7,2
149,17,4
150,29,3
150,49,3
151,38,1
151,47,3
151,37,3
152,4,1
152,43,4
153,11,3
153,26,1
153,44,3
154,40,4
154,15,2
154,9,4
155,24,4
155,27,2
155,45,2
155,36,1
155,59,4
156,46,1
156,24,1
156,5,2
156,59,2
156,37,2
157,55,1
157,34,2
157,29,4
158,58,4
159,30,2
160,27,4
160,30,3
160,37,1
160,4,4
160,36,3
161,48,2
162,5,1
162,3,1
162,28,1
162,23,4
162,45,1
163,27,2
163,12,4
163,50,3
164,29,4
164,56,1
164,59,2
164,25,3
165,12,4
166,9,1
166,47,3
166,15,4
166,54,4
166,1,4
167,16,3
167,30,2
168,13,1
168,60,1
168,57,4
169,50,2
169,60,1
169,57,1
169,2,1
169,16,4
170,44,1
170,46,4
170,56,4
170,4,2
170,16,2
171,9,3
172,53,3
172,59,3
173,20,2
173,57,2
174,20,2
174,18,4
174,4,4
174,36,1
175,42,3
175,43,4
175,25,4
176,20,2
176,25,4
177,55,3
177,15,2
178,59,4
178,4,2
178,36,4
178,27,2
179,14,1
179,22,4
179,42,3
180,35,2
181,18,4
182,39,2
182,3,4
182,56,2
182,5,3
182,13,3
183,14,2
184,48,4
185,45,2
185,39,4
186,36,3
186,21,4
187,35,3
187,42,3
187,23,4
187,20,4
188,52,4
189,59,3
189,14,4
189,24,1
190,56,3
190,15,4
190,48,3
190,10,2
190,2,2
191,15,2
191,25,4
191,37,3
192,49,4
192,53,4
192,32,2
193,11,4
193,9,2
193,47,1
194,3,1
194,54,1
194,55,4
194,5,2
194,53,2
195,46,2
196,14,4
197,4,4
197,40,4
197,41,1
198,35,4
199,2,3
200,19,4
200,2,2
200,33,1
200,53,1
200,45,2
201,13,3
201,40,3
202,51,3
202,26,4
202,6,4
203,16,1
203,45,1
203,15,1
203,20,4
203,44,4
204,36,1
204,31,2
204,4,1
204,41,4
205,42,1
205,51,1
205,22,2
205,37,2
206,31,3
206,18,1
206,3,2
206,60,3
206,5,1
207,38,4
207,10,1
208,11,4
208,37,3
208,16,4
209,51,1
209,45,3
210,7,4
211,54,3
211,5,4
212,2,4
212,41,4
212,18,2
213,36,2
213,25,4
213,28,1
214,19,1
214,52,3
214,16,2
214,46,4
214,5,2
215,21,1
215,24,3
215,7,4
215,6,3
216,7,2
216,9,4
216,6,4
217,36,1
217,33,3
217,27,1
217,7,3
217,2,4
218,19,4
219,50,2
219,6,2
219,47,4
219,58,2
220,18,3
220,20,4
221,5,4
221,11,3
222,20,3
222,31,3
222,51,2
222,5,4
223,40,3
223,13,1
223,30,4
223,7,3
223,9,4
224,29,2
224,22,3
224,28,3
225,45,4
225,13,3
225,31,3
225,21,4
225,12,2
226,25,4
226,18,3
226,53,1
227,13,1
227,38,4
227,35,2
227,12,4
227,44,3
228,53,4
229,9,3
229,41,2
229,20,4
229,16,4
230,29,4
231,26,4
231,35,1
231,33,3
231,60,1
231,59,1
232,43,2
232,23,1
233,42,4
233,44,1
233,26,1
233,49,1
233,22,3
234,33,2
234,48,4
235,26,2
235,30,3
235,50,1
236,7,1
236,19,1
236,27,2
236,59,3
237,22,2
237,30,4
237,51,3
238,7,4
238,29,3
238,47,1
238,45,3
239,52,1
240,55,3
241,44,2
242,34,2
242,12,3
243,28,2
243,30,2
243,15,4
243,52,4
243,26,1
244,57,4
244,13,1
244,29,2
244,38,2
244,28,3
245,37,1
246,12,1
246,24,3
246,21,4
246,13,3
246,30,4
247,26,4
247,38,2
247,8,3
247,23,1
247,55,2
248,8,1
248,16,2
248,20,3
249,33,4
249,25,2
250,25,2
250,28,2
250,12,4
250,32,3
250,41,2
251,21,4
251,54,1
252,1,2
252,32,4
252,9,4
253,44,4
253,32,4
253,27,2
253,46,1
254,2,1
254,51,3
254,49,2
254,15,3
254,19,2
255,37,1
255,48,1
255,50,3
255,32,3
256,53,2
256,49,4
256,3,1
256,47,2
256,29,3
257,29,3
258,56,4
258,53,1
258,6,2
259,52,3
259,48,4
260,40,2
260,9,2
261,37,3
262,18,3
262,39,3
262,35,3
262,11,1
262,21,2
263,59,2
263,4,2
263,18,2
263,56,2
264,54,4
264,16,4
264,49,2
265,41,1
265,18,1
265,27,4
