order_id,customer_id,order_date
1,11,2024-03-05
2,85,2024-08-20
3,73,2024-06-19
4,41,2023-09-25
5,27,2024-11-16
6,92,2023-11-18
7,31,2023-09-29
8,51,2023-05-15
9,86,2024-10-22
10,39,2024-04-13
11,41,2023-03-16
12,2,2024-04-14
13,80,2024-07-30
14,13,2023-03-17
15,69,2023-08-07
16,65,2023-09-29
17,17,2023-12-24
18,113,2023-03-12
19,113,2023-09-08
20,48,2023-10-19
21,21,2024-03-24
22,107,2024-07-10
23,91,2023-11-06
24,79,2024-10-31
25,68,2023-01-09
26,86,2024-07-21
27,39,2024-11-10
28,14,2023-05-18
29,34,2023-04-29
30,114,2023-04-20
31,96,2024-07-20
32,20,2023-10-06
33,37,2024-09-11
34,27,2025-01-04
35,44,2023-07-28
36,88,2024-10-11
37,110,2023-09-28
38,65,2024-05-15
39,33,2023-02-22
40,12,2024-10-11
41,55,2023-10-11
42,6,2023-01-04
43,43,2023-05-14
44,82,2023-09-26
45,21,2024-03-28
46,71,2024-12-23
47,55,2024-07-28
48,2,2023-04-25
49,10,2024-12-08
50,116,2023-06-02
51,70,2023-02-06
52,107,2024-01-14
53,75,2024-07-19
54,19,2024-03-16
55,17,2023-02-12
56,40,2024-01-09
57,116,2023-02-10
58,116,2024-01-02
59,27,2024-11-29
60,32,2024-11-13
61,14,2023-12-29
62,100,2024-07-27
63,114,2024-02-21
64,80,2023-06-08
65,119,2023-08-31
66,111,2023-06-16
67,103,2023-07-01
68,113,2024-02-27
69,4,2023-07-03
70,95,2023-12-07
71,101,2024-02-26
72,103,2024-11-16
73,111,2023-09-12
74,35,2023-06-13
75,101,2024-12-19
76,14,2024-01-27
77,112,2023-02-09
78,110,2024-04-26
79,29,2023-07-24
80,105,2024-04-16
81,45,2023-11-09
82,106,2023-08-22
83,29,2023-01-25
84,85,2023-07-17
85,52,2023-12-03
86,36,2023-03-13
87,99,2023-10-13
88,45,2024-10-18
89,66,2024-02-14
90,87,2024-07-03
91,43,2023-01-29
92,15,2023-09-25
93,23,2024-08-17
94,34,2023-02-09
95,14,2024-09-02
96,56,2023-12-20
97,94,2023-11-18
98,56,2024-09-12
99,66,2023-04-29
100,50,2024-08-13
101,25,2023-09-18
102,6,2024-12-26
103,56,2023-01-02
104,67,2024-07-05
105,88,2025-01-06
106,95,2024-11-17
107,26,2024-01-08
108,56,2023-03-13
109,86,2023-12-05
110,80,2023-11-18
111,85,2023-05-08
112,93,2023-11-04
113,65,2023-11-13
114,86,2024-02-23
115,42,2024-02-17
116,90,2023-10-30
117,71,2023-05-11
118,25,2024-03-06
119,86,2024-01-24
120,87,2023-06-28
121,79,2024-08-05
122,39,2024-02-20
123,71,2023-01-01
124,39,2023-10-21
125,27,2024-03-16
126,101,2024-08-16
127,78,2024-11-01
128,42,2024-04-21
129,57,2024-03-28
130,87,2023-08-07
131,66,2024-04-29
132,102,2023-06-23
133,85,2023-03-28
134,37,2024-06-11
135,85,2024-10-10
136,80,2023-12-10
137,12,2023-08-29
138,87,2023-11-14
139,29,2023-07-23
140,19,2023-01-26
141,6,2023-09-08
142,61,2024-09-17
143,109,2023-03-16
144,59,2024-02-29
145,114,2024-10-06
146,74,2023-07-19
147,92,2024-12-14
148,50,2024-05-21
149,52,2023-09-07
150,19,2024-11-02
151,89,2023-01-06
152,115,2023-04-20
153,100,2024-03-11
154,29,2023-06-30
155,103,2024-12-13
156,67,2024-04-20
157,7,2024-07-24
158,32,2023-05-05
159,59,2023-05-17
160,103,2024-04-20
161,86,2024-06-27
162,72,2024-09-01
163,41,2024-03-29
164,79,2025-01-06
165,115,2024-05-31
166,55,2024-07-15
167,58,2023-06-12
168,96,2024-05-01
169,58,2023-09-23
170,97,2023-09-11
171,108,2024-10-14
172,36,2024-06-17
173,63,2024-10-03
174,31,2023-10-09
175,57,2023-03-21
176,92,2023-10-20
177,31,2023-10-06
178,43,2023-11-24
179,115,2024-07-07
180,11,2023-05-22
181,20,2023-08-25
182,50,2024-12-11
183,20,2024-12-24
184,28,2023-03-07
185,54,2024-02-22
186,43,2024-07-09
187,60,2024-03-01
188,8,2023-07-31
189,107,2024-03-06
