driver_id,driver_name,city,vehicle_type,join_date
1,Driver_001,Chennai,CAR,2022-02-11
2,Driver_002,Pune,SCOOTER,2024-07-06
3,Driver_003,Delhi,CAR,2022-11-08
4,Driver_004,Nagpur,BIKE,2021-02-08
5,Driver_005,Nagpur,CAR,2022-02-15
6,Driver_006,Bengaluru,AUTO,2022-03-22
7,Driver_007,Hyderabad,BIKE,2022-11-21
8,Driver_008,Pune,CAR,2022-04-18
9,Driver_009,Nashik,BIKE,2022-12-28
10,Driver_010,Nagpur,BIKE,2022-07-28
11,Driver_011,Bengaluru,CAR,2023-01-26
12,Driver_012,Nashik,BIKE,2022-11-04
13,Driver_013,Chennai,CAR,2021-10-26
14,Driver_014,Delhi,CAR,2024-11-27
15,Driver_015,Mumbai,BIKE,2022-05-19
16,Driver_016,Delhi,SCOOTER,2024-02-21
17,Driver_017,Nagpur,BIKE,2025-01-17
18,Driver_018,Nagpur,BIKE,2024-07-05
19,Driver_019,Delhi,SCOOTER,2022-03-10
20,Driver_020,Hyderabad,BIKE,2021-02-19
21,Driver_021,Hyderabad,SCOOTER,2022-01-24
22,Driver_022,Nashik,CAR,2024-12-07
23,Driver_023,Hyderabad,BIKE,2024-09-03
24,Driver_024,Nagpur,SCOOTER,2024-09-21
25,Driver_025,Delhi,BIKE,2023-11-30
26,Driver_026,Nagpur,BIKE,2021-10-08
27,Driver_027,Pune,BIKE,2021-12-06
28,Driver_028,Nashik,BIKE,2023-08-28
29,Driver_029,Pune,BIKE,2024-07-27
30,Driver_030,Chennai,BIKE,2021-12-28
31,Driver_031,Delhi,CAR,2023-07-03
32,Driver_032,Delhi,SCOOTER,2023-03-14
33,Driver_033,Mumbai,SCOOTER,2022-12-16
34,Driver_034,Pune,CAR,2023-04-19
35,Driver_035,Delhi,SCOOTER,2024-07-04
36,Driver_036,Chennai,CAR,2022-06-28
37,Driver_037,Chennai,BIKE,2023-12-22
38,Driver_038,Chennai,CAR,2024-07-14
39,Driver_039,Chennai,BIKE,2024-07-18
40,Driver_040,Bengaluru,BIKE,2022-07-25
41,Driver_041,Bengaluru,BIKE,2022-11-29
42,Driver_042,Pune,BIKE,2022-12-10
43,Driver_043,Hyderabad,CAR,2021-02-21
44,Driver_044,Pune,BIKE,2021-12-22
45,Driver_045,Chennai,CAR,2024-10-30
46,Driver_046,Hyderabad,BIKE,2022-10-23
47,Driver_047,Bengaluru,CAR,2022-02-11
