order_id,customer_id,restaurant_id,driver_id,order_ts,estimated_delivery_ts,actual_delivery_ts,order_status,distance_km,order_amount
1,1,46,117,2024-03-08 15:54:15,2024-03-08 16:19:15,,CANCELLED,6.64,220.13
2,120,104,51,2024-08-14 04:54:14,2024-08-14 05:27:14,,ACCEPTED,7.53,131.67
3,36,20,77,2024-07-09 06:42:33,2024-07-09 07:25:33,,PICKED,0.5,303.4
4,193,72,32,2024-05-05 14:57:20,2024-05-05 15:40:20,2024-05-05 15:58:20,DELIVERED,5.43,387.14
5,117,30,129,2024-10-25 21:30:31,2024-10-25 22:16:31,2024-10-25 22:17:31,DELIVERED,4.91,355.0
6,12,50,3,2024-09-28 04:41:58,2024-09-28 05:06:58,2024-09-28 05:07:58,DELIVERED,4.11,458.34
7,85,77,139,2025-01-13 05:16:00,2025-01-13 06:03:00,,ACCEPTED,5.78,232.06
8,171,50,134,2024-01-01 13:33:52,2024-01-01 13:58:52,2024-01-01 14:32:52,DELIVERED,7.19,184.07
9,120,48,26,2024-11-03 19:11:09,2024-11-03 19:45:09,,ACCEPTED,4.26,363.02
10,132,59,120,2024-12-26 10:21:26,2024-12-26 10:58:26,,ACCEPTED,4.93,337.28
11,33,104,19,2024-01-17 17:38:29,2024-01-17 18:25:29,2024-01-17 18:56:29,DELIVERED,-3.0,239.72
12,103,104,107,2024-07-26 15:42:33,2024-07-26 16:28:33,2024-07-26 16:28:33,DELIVERED,7.38,671.99
13,28,73,52,2024-09-29 21:30:47,2024-09-29 22:21:47,,PLACED,4.51,488.15
14,57,92,22,2024-01-18 02:36:52,2024-01-18 03:14:52,,ACCEPTED,4.22,345.12
15,220,32,84,2024-09-19 15:23:51,2024-09-19 16:13:51,2024-09-19 16:11:51,DELIVERED,4.93,376.59
16,112,80,60,2024-01-06 19:45:40,2024-01-06 20:14:40,,CANCELLED,8.76,609.45
17,115,12,21,2024-11-03 18:05:00,2024-11-03 18:31:00,,CANCELLED,7.84,321.97
18,200,15,58,2024-11-04 05:24:03,2024-11-04 06:18:03,,PLACED,2.83,299.77
19,169,96,135,2024-08-28 08:21:10,2024-08-28 08:53:10,2024-08-28 08:43:10,DELIVERED,2.63,226.1
20,126,116,122,2024-08-22 20:22:58,2024-08-22 20:53:58,2024-08-22 21:24:58,DELIVERED,7.69,80.0
