merchant_id,merchant_name,mcc,city
1,Merchant_001,ECOM,Thane
2,Merchant_002,ECOM,Mumbai
3,Merchant_003,TRAVEL,Hyderabad
4,Merchant_004,FUEL,Mumbai
5,Merchant_005,ECOM,Delhi
6,Merchant_006,EDUCATION,Nashik
7,Merchant_007,FUEL,Dhule
8,Merchant_008,,Pune
9,Merchant_009,EDUCATION,Nashik
10,Merchant_010,UTILITIES,Pune
11,Merchant_011,PHARMACY,Mumbai
12,Merchant_012,GROCERY,Aurangabad
13,Merchant_013,FOOD,Bengaluru
14,Merchant_014,ECOM,Nashik
15,Merchant_015,PHARMACY,Nagpur
16,Merchant_016,TRAVEL,Delhi
17,Merchant_017,FOOD,Chennai
18,Merchant_018,FUEL,Kolhapur
19,Merchant_019,FUEL,Chennai
20,Merchant_020,TRAVEL,Aurangabad
21,Merchant_021,PHARMACY,Nashik
22,Merchant_022,UTILITIES,Bengaluru
23,Merchant_023,PHARMACY,Hyderabad
24,Merchant_024,GROCERY,Delhi
25,Merchant_025,PHARMACY,Mumbai
26,Merchant_026,ECOM,Hyderabad
27,Merchant_027,GROCERY,Aurangabad
28,Merchant_028,TRAVEL,Kolhapur
29,Merchant_029,FUEL,Dhule
30,Merchant_030,PHARMACY,Mumbai
31,Merchant_031,UTILITIES,Bengaluru
32,Merchant_032,FUEL,Chennai
33,Merchant_033,EDUCATION,Delhi
34,Merchant_034,GROCERY,Chennai
35,Merchant_035,UTILITIES,Nashik
36,Merchant_036,FOOD,Mumbai
37,Merchant_037,UTILITIES,Mumbai
38,Merchant_038,PHARMACY,Bengaluru
39,Merchant_039,FUEL,Dhule
40,Merchant_040,UTILITIES,Kolhapur
41,Merchant_041,FOOD,Chennai
42,Merchant_042,UTILITIES,Pune
43,Merchant_043,ECOM,Kolhapur
44,Merchant_044,TRAVEL,Hyderabad
45,Merchant_045,TRAVEL,Pune
46,Merchant_046,GROCERY,Delhi
47,Merchant_047,PHARMACY,Delhi
48,Merchant_048,GROCERY,Delhi
49,Merchant_049,ECOM,Delhi
50,Merchant_050,PHARMACY,Nashik
51,Merchant_051,FUEL,Dhule
52,Merchant_052,ECOM,Delhi
53,Merchant_053,FUEL,Aurangabad
54,Merchant_054,PHARMACY,Kolhapur
55,Merchant_055,EDUCATION,Hyderabad
56,Merchant_056,EDUCATION,Pune
57,Merchant_057,PHARMACY,Chennai
58,Merchant_058,EDUCATION,Hyderabad
59,Merchant_059,PHARMACY,Nagpur
60,Merchant_060,GROCERY,Nagpur
61,Merchant_061,GROCERY,Delhi
62,Merchant_062,UTILITIES,Mumbai
63,Merchant_063,ECOM,Delhi
64,Merchant_064,TRAVEL,Nashik
65,Merchant_065,UTILITIES,Pune
66,Merchant_066,UTILITIES,Chennai
67,Merchant_067,FUEL,Thane
68,Merchant_068,FUEL,Delhi
69,Merchant_069,FUEL,Hyderabad
70,Merchant_070,GROCERY,Chennai
71,Merchant_071,FUEL,Chennai
72,Merchant_072,TRAVEL,Nagpur
73,Merchant_073,EDUCATION,Delhi
74,Merchant_074,FUEL,Nashik
75,Merchant_075,ECOM,Delhi
76,Merchant_076,PHARMACY,Thane
77,Merchant_077,UTILITIES,Chennai
78,Merchant_078,FUEL,Bengaluru
79,Merchant_079,TRAVEL,Kolhapur
80,Merchant_080,ECOM,Dhule
11,Merchant_011,PHARMACY,Mumbai
