txn_id,user_id,merchant_id,txn_ts,amount,txn_status,channel,device_id
1,20,22,2024-12-02 16:36:39,3614.54,SUCCESS,CARD,DEV0373
2,11,28,2024-08-11 03:54:06,460.99,SUCCESS,WALLET,DEV0330
3,51,26,2025-01-25 22:50:02,0.0,SUCCESS,WALLET,DEV0245
4,102,80,2024-12-14 08:52:25,965.66,SUCCESS,CARD,DEV0441
5,14,76,2024-09-01 19:07:27,0.0,SUCCESS,UPI,DEV0318
6,200,59,2024-12-31 10:37:17,-500.0,SUCCESS,CARD,DEV0027
7,109,11,2024-07-22 11:43:38,1771.15,SUCCESS,CARD,DEV0178
8,134,68,2024-09-16 07:05:20,2852.2,SUCCESS,WALLET,DEV0291
9,12,76,2024-03-09 17:45:37,4126.69,SUCCESS,UPI,DEV0389
10,71,53,2024-04-05 20:12:39,4329.41,SUCCESS,CARD,DEV0061
11,4,43,2024-02-07 13:25:42,0.0,SUCCESS,UPI,DEV0093
12,119,33,2024-03-30 05:17:19,2098.0,DONE,WALLET,DEV0362
13,7,48,2024-12-19 21:22:06,0.0,SUCCESS,UPI,DEV0447
14,154,55,2024-06-11 15:19:44,1790.55,SUCCESS,WALLET,DEV0238
15,107,20,2025-01-25 20:31:16,2672.26,SUCCESS,WALLET,DEV0354
16,39,35,2025-01-11 11:25:05,3486.97,SUCCESS,WALLET,DEV0045
17,189,48,2024-05-12 16:41:00,451.53,FAILED,UPI,DEV0094
18,56,55,2024-09-23 05:16:54,2566.81,PENDING,UPI,DEV0149
19,4,7,2024-10-18 22:34:48,0.0,SUCCESS,WALLET,DEV0350
20,22,61,2024-06-17 00:46:16,1456.04,SUCCESS,WALLET,DEV0436
21,92,9999,2024-02-25 21:42:02,2296.3,SUCCESS,UPI,DEV0290
22,52,52,2024-06-29 17:44:27,2676.39,SUCCESS,CARD,DEV0396
23,85,68,2024-10-02 11:16:09,4621.91,SUCCESS,WALLET,DEV0006
24,105,49,2024-11-11 14:46:35,3656.42,FAILED,CARD,DEV0227
25,26,74,2024-02-14 00:41:03,319.42,SUCCESS,UPI,DEV0208
26,21,29,2024-01-07 08:18:19,2651.62,SUCCESS,WALLET,DEV0028
