user_id,user_name,city,kyc_status,created_date
1,User_001,Hyderabad,NONE,2023-02-10
2,User_002,Bengaluru,FULL,2022-01-10
3,User_003,Pune,NONE,2022-08-06
4,User_004,Nashik,MINIMAL,2022-12-30
5,User_005,Kolhapur,OK,2022-05-04
6,User_006,Delhi,FULL,2023-02-04
7,User_007,Hyderabad,NONE,2024-10-07
8,User_008,Dhule,FULL,2023-07-17
9,User_009,Dhule,FULL,2022-05-04
10,User_010,Delhi,MINIMAL,2024-11-14
11,User_011,Hyderabad,FULL,2022-05-04
12,User_012,Hyderabad,FULL,2022-11-07
13,User_013,Mumbai,FULL,2023-08-17
14,User_014,Thane,FULL,2022-01-20
15,User_015,Bengaluru,FULL,2024-07-11
16,User_016,Aurangabad,FULL,2024-01-03
17,User_017,Hyderabad,MINIMAL,2024-06-13
18,User_018,Aurangabad,FULL,2024-06-03
19,User_019,Nagpur,FULL,2022-05-07
20,User_020,Kolhapur,FULL,2023-03-18
21,User_021,Nagpur,FULL,2023-07-19
22,User_022,Nashik,FULL,2022-05-09
23,User_023,Chennai,MINIMAL,2022-10-15
24,User_024,Thane,NONE,2024-06-08
25,User_025,Aurangabad,MINIMAL,2024-12-18
26,User_026,Nashik,FULL,2023-08-26
27,User_027,Mumbai,FULL,2022-07-10
28,User_028,Kolhapur,NONE,2024-07-06
29,User_029,Pune,FULL,2022-02-07
30,User_030,Nagpur,FULL,2024-12-07
31,User_031,Nashik,FULL,2024-12-12
32,User_032,Thane,FULL,2022-03-16
33,User_033,Thane,NONE,2022-05-23
34,User_034,Kolhapur,MINIMAL,2024-11-06
35,User_035,Dhule,FULL,2022-10-21
36,User_036,Delhi,MINIMAL,2024-06-05
37,User_037,Mumbai,FULL,2022-08-31
38,User_038,Dhule,FULL,2024-04-30
39,User_039,Chennai,MINIMAL,2024-03-11
40,User_040,Pune,FULL,2022-04-29
41,User_041,Dhule,FULL,2022-03-09
42,User_042,Chennai,NONE,2023-10-13
43,User_043,Kolhapur,FULL,2022-01-31
44,User_044,Dhule,FULL,2024-09-18
45,User_045,Kolhapur,MINIMAL,2023-07-07
46,User_046,Aurangabad,FULL,2024-08-22
47,User_047,Nashik,FULL,2023-04-17
48,User_048,Bengaluru,FULL,2022-11-07
49,User_049,Kolhapur,NONE,2023-07-01
50,User_050,Kolhapur,MINIMAL,2022-07-05
51,User_051,Aurangabad,NONE,2024-07-29
52,User_052,Dhule,FULL,2023-05-20
53,User_053,Chennai,FULL,2022-10-31
54,User_054,Nashik,FULL,2022-10-06
55,User_055,Aurangabad,NONE,2023-10-23
56,User_056,Chennai,FULL,2022-10-16
57,User_057,Aurangabad,MINIMAL,2022-06-21
58,User_058,Kolhapur,MINIMAL,2024-09-17
59,User_059,Bengaluru,MINIMAL,2024-02-29
60,User_060,Dhule,MINIMAL,2022-02-12
61,User_061,Nagpur,FULL,2022-01-12
62,User_062,Thane,MINIMAL,2024-07-02
63,User_063,Hyderabad,FULL,2024-10-16
64,User_064,Dhule,FULL,2024-08-05
65,User_065,Chennai,FULL,2023-11-10
66,User_066,Pune,FULL,2024-03-11
67,User_067,Hyderabad,FULL,2023-08-25
68,User_068,Mumbai,FULL,2024-02-03
69,User_069,Hyderabad,NONE,2024-03-20
70,User_070,Nashik,FULL,2024-02-14
71,User_071,Nashik,FULL,2023-08-05
72,User_072,Hyderabad,MINIMAL,2022-05-27
73,User_073,Delhi,FULL,2022-08-18
74,User_074,Kolhapur,FULL,2022-10-02
75,User_075,Nashik,FULL,2024-01-15
76,User_076,Thane,MINIMAL,2022-05-25
77,User_077,Kolhapur,MINIMAL,2022-09-28
78,User_078,Thane,MINIMAL,2022-02-12
79,User_079,Aurangabad,FULL,2022-12-07
80,User_080,Nashik,NONE,2022-03-27
81,User_081,Mumbai,MINIMAL,2023-08-28
82,User_082,Pune,FULL,2023-09-07
83,User_083,Dhule,FULL,2023-08-22
84,User_084,Chennai,FULL,2023-08-29
85,User_085,Dhule,FULL,2023-04-01
86,User_086,Kolhapur,FULL,2023-03-29
87,User_087,Nagpur,NONE,2024-05-25
88,User_088,Hyderabad,FULL,2023-09-29
89,User_089,Chennai,FULL,2024-08-18
90,User_090,Nagpur,NONE,2024-03-31
91,User_091,Aurangabad,FULL,2024-01-08
92,User_092,Dhule,MINIMAL,2022-10-17
93,User_093,Chennai,FULL,2024-03-05
94,User_094,Nashik,FULL,2024-12-15
95,User_095,Aurangabad,FULL,2022-01-01
