order_id,product_id,quantity
10001,8,1.0
10002,18,3.0
10002,40,1.0
10002,3,3.0
10003,10,1.0
10003,2,3.0
10003,56,3.0
10003,24,2.0
10004,31,3.0
10005,48,2.0
10005,44,3.0
10005,56,1.0
10006,14,3.0
10006,54,1.0
10007,37,1.0
10007,54,3.0
10008,57,2.0
10008,27,2.0
10009,2,2.0
10009,26,3.0
10009,5,1.0
10010,25,3.0
10011,5,3.0
10012,4,1.0
10012,50,2.0
10012,25,1.0
10013,39,3.0
10013,50,1.0
10013,40,1.0
10013,37,2.0
10014,32,1.0
10014,34,3.0
10014,21,3.0
10015,49,3.0
10015,25,1.0
10016,26,2.0
10016,20,3.0
10016,57,1.0
10017,4,1.0
10017,31,1.0
10017,28,1.0
10018,49,3.0
10019,60,3.0
10019,25,3.0
10019,58,2.0
10020,3,3.0
10020,17,3.0
10020,25,2.0
10020,33,2.0
10021,18,2.0
10021,7,3.0
10022,18,3.0
10022,30,1.0
10022,58,1.0
10023,44,1.0
10023,7,2.0
10023,21,2.0
10023,52,3.0
10024,46,1.0
10024,52,3.0
10024,45,2.0
10025,24,3.0
10026,28,1.0
10027,28,3.0
10027,23,1.0
10027,3,1.0
10028,22,2.0
10028,44,2.0
10028,34,2.0
10028,1,2.0
10029,35,2.0
10029,34,1.0
10029,46,1.0
10030,14,1.0
10031,15,2.0
10031,7,2.0
10031,59,2.0
10032,43,3.0
10033,14,1.0
10033,32,1.0
10034,26,3.0
10035,10,2.0
10035,35,2.0
10035,4,3.0
10036,42,
10036,60,3.0
10036,38,2.0
10036,44,2.0
10037,44,1.0
10038,42,2.0
10038,39,1.0
10039,47,3.0
10040,50,3.0
10041,10,3.0
10041,6,3.0
10041,22,1.0
10041,60,2.0
10042,36,2.0
10042,58,2.0
10042,20,1.0
10042,26,1.0
10043,11,2.0
10044,2,2.0
10044,14,1.0
10045,51,3.0
10045,42,3.0
10045,39,1.0
10045,4,3.0
10046,12,3.0
10047,24,2.0
10048,22,3.0
10049,9,1.0
10049,1,1.0
10049,43,2.0
10050,14,2.0
10050,44,3.0
10050,5,3.0
10050,10,3.0
10051,4,1.0
10051,45,2.0
10052,4,2.0
10052,44,3.0
10052,35,1.0
10052,12,2.0
10053,31,2.0
10053,48,1.0
10053,45,2.0
10053,34,1.0
10054,27,1.0
10054,22,3.0
10054,45,3.0
10055,39,2.0
10055,34,3.0
10055,49,1.0
10056,5,2.0
10056,56,2.0
10057,12,3.0
10058,16,1.0
10058,14,2.0
10059,28,2.0
10059,35,1.0
10059,36,3.0
10059,9,1.0
10060,6,1.0
10060,42,1.0
10061,43,3.0
10061,35,3.0
10061,4,1.0
10062,6,2.0
10062,1,1.0
10063,21,2.0
10064,45,2.0
10064,38,1.0
10065,60,2.0
10065,33,1.0
10065,34,2.0
10065,42,2.0
10066,43,2.0
10067,60,3.0
10068,30,1.0
10068,5,3.0
10069,30,1.0
10070,15,3.0
10071,8,3.0
10071,55,3.0
10071,39,2.0
10072,15,3.0
10072,40,3.0
10072,53,1.0
10073,38,2.0
10073,35,3.0
10074,38,3.0
10074,5,3.0
10074,58,2.0
10074,19,1.0
10075,37,1.0
10075,38,3.0
10075,7,2.0
10076,50,2.0
10076,41,2.0
10077,8,3.0
10077,59,3.0
10077,45,3.0
10077,41,1.0
10078,14,1.0
10078,8,3.0
10079,26,3.0
10080,32,1.0
10080,6,3.0
10081,4,2.0
10081,53,1.0
10081,18,2.0
10082,36,3.0
10082,56,1.0
10083,13,3.0
10083,22,2.0
10084,44,2.0
10084,8,2.0
10085,18,3.0
10085,22,3.0
10085,43,3.0
10085,2,1.0
10086,59,3.0
10086,12,2.0
10086,38,1.0
10086,49,3.0
10087,31,2.0
10087,27,1.0
10088,11,1.0
10088,56,3.0
10088,5,2.0
10088,39,3.0
10089,10,1.0
10089,29,3.0
10089,18,1.0
10090,28,3.0
10091,41,2.0
10091,43,3.0
10091,42,2.0
10092,11,3.0
10093,16,1.0
10094,48,1.0
10094,53,1.0
10094,2,2.0
10094,15,2.0
10095,41,1.0
10095,32,1.0
10095,51,2.0
10096,42,2.0
10096,8,1.0
10096,3,2.0
10096,24,1.0
10097,49,1.0
10097,7,2.0
10097,13,1.0
10098,13,2.0
10098,28,3.0
10099,30,2.0
10099,52,1.0
10099,44,1.0
10099,1,2.0
10100,29,2.0
10100,4,1.0
10101,6,2.0
10101,20,3.0
10101,7,1.0
10102,43,2.0
10102,60,2.0
10102,14,3.0
10102,54,2.0
10103,39,3.0
10103,49,2.0
10103,12,2.0
10104,32,1.0
10104,13,3.0
10105,30,3.0
10105,34,3.0
10105,45,1.0
10105,42,1.0
10106,58,3.0
10106,35,3.0
10106,32,3.0
10106,47,1.0
10107,5,3.0
10108,51,2.0
10108,10,3.0
10109,9,3.0
10109,5,1.0
10109,37,2.0
10110,49,1.0
10110,22,1.0
10110,29,
10110,56,3.0
10111,52,3.0
10112,53,1.0
10112,38,3.0
10112,39,1.0
10112,42,1.0
10113,46,2.0
10113,12,2.0
10114,60,3.0
10114,40,3.0
10114,24,2.0
10114,43,3.0
10115,21,1.0
10115,11,1.0
10116,1,2.0
10117,5,1.0
10117,24,1.0
10118,48,2.0
10119,4,2.0
10119,7,2.0
10119,38,1.0
10119,56,1.0
10120,24,3.0
10120,5,1.0
10121,5,2.0
10121,44,3.0
10122,22,1.0
10122,6,1.0
10123,19,1.0
10123,31,2.0
10123,52,2.0
10123,45,1.0
10124,12,3.0
10124,7,2.0
10124,38,1.0
10124,19,1.0
10125,27,1.0
10126,46,1.0
10126,15,3.0
10126,22,3.0
10126,55,1.0
10127,24,1.0
10127,58,1.0
10127,30,3.0
10128,29,2.0
10129,29,3.0
10130,32,1.0
10130,28,1.0
10130,55,1.0
10130,10,3.0
10131,20,3.0
10131,8,1.0
10132,33,1.0
10132,27,2.0
10133,24,1.0
10133,26,1.0
10134,6,2.0
10135,3,1.0
10135,14,3.0
10136,37,2.0
10136,50,2.0
10137,9,1.0
10138,5,2.0
10138,11,1.0
10138,32,2.0
10138,35,2.0
10139,15,3.0
10139,45,1.0
10139,3,2.0
10140,4,3.0
10141,29,1.0
10141,23,2.0
10142,29,1.0
10142,30,2.0
10142,21,2.0
10142,55,2.0
10143,52,1.0
10143,51,2.0
10143,46,1.0
10143,17,2.0
10144,18,1.0
10144,5,1.0
10144,48,1.0
10145,45,1.0
10145,44,3.0
10145,13,1.0
10145,25,3.0
10146,54,2.0
10147,20,1.0
10148,45,2.0
10149,20,1.0
10149,22,1.0
10149,42,1.0
10150,59,2.0
10150,45,2.0
10150,30,2.0
10151,20,3.0
10151,14,3.0
10152,55,1.0
10153,17,3.0
10153,57,1.0
10154,10,2.0
10154,26,2.0
10155,55,2.0
10155,36,3.0
10155,48,1.0
10155,20,2.0
10156,9,1.0
10156,57,2.0
10156,27,1.0
10157,46,3.0
10157,45,3.0
10158,16,1.0
10158,5,3.0
10159,4,3.0
10159,49,1.0
10159,25,1.0
10160,60,1.0
10160,50,3.0
10160,18,1.0
10161,48,2.0
10161,20,2.0
10162,27,
10162,35,3.0
10162,3,1.0
10163,8,2.0
10163,19,2.0
10163,53,2.0
10163,33,2.0
10164,53,1.0
10164,59,3.0
10164,21,2.0
10164,32,3.0
10165,8,2.0
10166,42,2.0
10166,35,2.0
10166,57,3.0
10166,50,2.0
10167,54,2.0
10167,50,2.0
10167,52,3.0
10167,43,2.0
10168,51,3.0
10168,25,3.0
10168,41,3.0
10169,15,2.0
10169,41,3.0
10170,5,2.0
10170,33,1.0
10170,25,1.0
10171,53,1.0
10171,55,2.0
10171,28,3.0
10171,46,3.0
10172,18,3.0
10172,50,2.0
10173,40,2.0
10173,57,2.0
10173,13,1.0
10174,9,2.0
10175,29,2.0
10176,60,2.0
10176,24,1.0
10177,10,1.0
10177,11,3.0
10177,4,3.0
10178,34,3.0
10178,51,1.0
10178,4,2.0
10178,42,1.0
10179,21,3.0
10179,8,3.0
10180,57,1.0
10180,6,3.0
10180,33,1.0
10181,4,2.0
10182,18,2.0
10183,23,1.0
10183,39,3.0
10184,45,2.0
10184,27,3.0
10185,2,1.0
10185,24,1.0
10186,59,3.0
10186,30,2.0
10187,16,2.0
