order_id,customer_id,store_id,order_date,payment_mode,order_status
10001,70,6,2025-08-29,CARD,DELIVERED
10002,114,6,2025-10-01,UPI,DELIVERED
10003,82,4,2025-06-22,UPI,DELIVERED
10004,108,5,2025-09-11,UPI,DELIVERED
10005,63,4,2025-09-16,CARD,DELIVERED
10006,29,4,2025-09-29,UPI,DELIVERED
10007,69,5,2025-11-13,CASH,DELIVERED
10008,30,3,2025-06-26,NETBANKING,DELIVERED
10009,1,9,2025-10-05,CARD,DELIVERED
10010,87,10,2025-08-08,CARD,DELIVERED
10011,111,5,2025-11-05,CARD,DELIVERED
10012,39,10,2025-10-29,CARD,DELIVERED
10013,82,10,2025-07-03,UPI,DELIVERED
10014,67,3,2025-08-03,NETBANKING,PLACED
10015,66,5,2026-01-01,UPI,DELIVERED
10016,41,2,2025-06-11,CASH,PLACED
10017,2,10,2025-08-17,CARD,PLACED
10018,116,7,2025-11-11,NETBANKING,PLACED
10019,102,10,2025-11-09,CARD,DELIVERED
10020,5,5,2025-07-09,CARD,DELIVERED
10021,100,10,2025-09-12,CARD,CANCELLED
10022,100,10,2025-09-21,CARD,PLACED
10023,21,10,2025-12-26,UPI,DELIVERED
10024,96,10,2025-12-14,CARD,DELIVERED
10025,89,6,2025-10-30,CARD,DELIVERED
10026,66,10,2025-06-01,CARD,DELIVERED
10027,108,8,2025-08-22,NETBANKING,CANCELLED
10028,51,7,2025-12-19,CASH,DELIVERED
10029,108,3,2025-06-07,NETBANKING,DELIVERED
10030,72,4,2025-10-24,CARD,DELIVERED
10031,90,6,2025-06-03,UPI,DELIVERED
10032,7,8,2025-06-15,CARD,DELIVERED
10033,47,10,2025-11-22,CARD,DELIVERED
10034,106,8,2025-08-06,CASH,PLACED
10035,115,7,2025-07-02,CARD,DELIVERED
10036,5,8,2025-10-15,CASH,DELIVERED
10037,65,6,2025-08-17,CARD,DELIVERED
10038,31,6,2025-11-17,UPI,DELIVERED
10039,115,4,2025-11-02,UPI,DELIVERED
10040,19,4,2025-09-12,UPI,DELIVERED
10041,1,10,2025-06-19,NETBANKING,PLACED
10042,76,4,2025-08-24,CASH,DELIVERED
10043,117,5,2025-06-24,NETBANKING,RETURNED
10044,85,4,2025-12-01,CARD,DELIVERED
10045,40,5,2025-11-04,UPI,DELIVERED
10046,92,7,2025-09-01,UPI,DELIVERED
10047,48,2,2025-10-02,CARD,DELIVERED
10048,98,7,2025-12-25,CASH,DELIVERED
10049,3,8,2025-07-16,UPI,DELIVERED
10050,31,5,2025-09-06,CARD,DELIVERED
10051,63,6,2025-12-10,CARD,PLACED
10052,36,9,2025-06-02,CARD,DELIVERED
10053,96,7,2025-06-25,CASH,DELIVERED
10054,69,5,2025-09-12,UPI,PLACED
10055,73,5,2025-07-29,UPI,DELIVERED
10056,20,4,2025-07-07,UPI,RETURNED
10057,2,2,2025-07-13,CASH,DELIVERED
10058,116,3,2025-07-18,CARD,DELIVERED
10059,95,5,2025-08-26,UPI,DELIVERED
10060,69,6,2025-11-19,UPI,DELIVERED
10061,7,4,2025-10-08,NETBANKING,DELIVERED
10062,95,3,2025-08-24,CARD,CANCELLED
10063,72,1,2025-12-18,CARD,DELIVERED
10064,108,2,2025-08-27,UPI,DELIVERED
10065,28,7,2025-11-22,CARD,DELIVERED
10066,91,1,2025-07-22,CARD,PLACED
10067,74,4,2025-10-04,NETBANKING,DELIVERED
10068,114,1,2025-06-28,UPI,DELIVERED
10069,93,9,2025-07-06,NETBANKING,DELIVERED
10070,41,10,2025-12-24,CASH,DELIVERED
10071,43,7,2025-10-29,UPI,DELIVERED
10072,39,9,2025-09-25,UPI,DELIVERED
10073,9,4,2025-08-29,CASH,DELIVERED
10074,101,9,2025-09-26,UPI,DELIVERED
10075,75,1,2025-12-07,UPI,RETURNED
10076,95,6,2025-12-01,UPI,PLACED
10077,52,1,2025-06-26,CARD,DELIVERED
10078,22,1,2025-07-01,CARD,DELIVERED
10079,96,2,2025-09-15,CASH,DELIVERED
10080,26,8,2025-08-16,UPI,DELIVERED
10081,70,8,2025-12-03,UPI,DELIVERED
10082,95,5,2025-11-22,CASH,DELIVERED
10083,46,5,2025-08-27,CARD,DELIVERED
10084,108,8,2025-09-11,UPI,DELIVERED
10085,32,7,2025-12-05,CASH,DELIVERED
10086,55,6,2025-08-28,UPI,DELIVERED
10087,93,4,2025-08-26,UPI,DELIVERED
10088,84,4,2025-11-03,CARD,RETURNED
10089,57,9,2025-10-09,UPI,DELIVERED
10090,35,4,2025-07-21,UPI,DELIVERED
10091,30,6,2025-10-25,UPI,PLACED
10092,61,9,2025-09-16,CARD,DELIVERED
10093,24,6,2025-06-18,UPI,DELIVERED
10094,88,5,2025-07-23,CASH,DELIVERED
10095,24,6,2025-12-27,UPI,DELIVERED
10096,42,3,2025-06-05,UPI,PLACED
10097,67,2,2025-08-29,CARD,DELIVERED
10098,83,8,2025-08-15,UPI,CANCELLED
10099,14,9,2025-09-10,UPI,RETURNED
10100,7,9,2025-07-29,CASH,DELIVERED
10101,9,8,2025-06-04,CARD,PLACED
10102,81,3,2025-11-06,NETBANKING,DELIVERED
10103,71,9,2025-12-23,UPI,DELIVERED
10104,27,6,2025-12-15,UPI,DELIVERED
10105,62,9,2025-08-02,NETBANKING,CANCELLED
10106,89,9,2025-06-01,UPI,DELIVERED
10107,38,7,2025-09-17,CARD,DELIVERED
10108,77,7,2025-09-29,UPI,PLACED
10109,112,8,2025-08-19,CARD,DELIVERED
10110,66,7,2025-12-06,UPI,CANCELLED
10111,9,1,2025-09-09,NETBANKING,RETURNED
10112,9,6,2025-07-15,CARD,PLACED
10113,39,8,2025-10-20,CARD,PLACED
10114,42,8,2025-09-05,CARD,DELIVERED
10115,70,9,2025-09-25,UPI,DELIVERED
10116,46,3,2025-07-26,CASH,DELIVERED
10117,97,8,2025-11-30,UPI,DELIVERED
10118,25,3,2025-08-15,CASH,DELIVERED
10119,22,4,2025-12-11,UPI,DELIVERED
10120,11,2,2025-09-05,CARD,DELIVERED
10121,97,8,2025-10-13,UPI,DELIVERED
10122,110,3,2025-07-19,UPI,DELIVERED
10123,19,8,2025-10-10,UPI,PLACED
10124,103,3,2025-11-14,UPI,DELIVERED
10125,26,2,2025-07-26,CARD,DELIVERED
10126,75,3,2025-10-11,UPI,PLACED
10127,84,7,2026-01-06,UPI,DELIVERED
10128,24,1,2025-09-13,UPI,DELIVERED
10129,71,1,2025-07-01,NETBANKING,DELIVERED
10130,17,4,2025-06-27,UPI,CANCELLED
10131,120,7,2025-07-17,UPI,DELIVERED
10132,9,6,2025-07-26,UPI,DELIVERED
10133,78,3,2025-07-12,CASH,DELIVERED
10134,53,9,2025-07-25,UPI,CANCELLED
10135,8,8,2025-06-27,CARD,DELIVERED
10136,115,8,2025-08-31,CASH,RETURNED
10137,105,7,2026-01-04,CASH,DELIVERED
10138,82,2,2025-12-09,CARD,DELIVERED
10139,67,1,2025-12-12,CASH,DELIVERED
10140,65,3,2025-10-28,CARD,DELIVERED
10141,6,2,2025-12-30,UPI,DELIVERED
10142,74,9,2025-12-20,UPI,DELIVERED
10143,37,10,2025-09-06,CASH,DELIVERED
10144,52,4,2025-07-08,UPI,DELIVERED
10145,16,8,2025-07-15,NETBANKING,DELIVERED
10146,34,4,2025-11-25,UPI,DELIVERED
10147,110,10,2025-12-28,CASH,PLACED
10148,53,5,2025-07-16,UPI,DELIVERED
10149,47,2,2025-08-21,NETBANKING,PLACED
10150,49,10,2025-07-26,CARD,PLACED
10151,52,9,2025-06-18,CARD,DELIVERED
10152,57,8,2025-12-18,CARD,DELIVERED
10153,45,2,2025-09-27,UPI,PLACED
10154,109,9,2025-08-17,CARD,CANCELLED
10155,16,6,2025-08-02,CASH,DELIVERED
10156,114,5,2025-07-18,CASH,DELIVERED
10157,19,5,2025-08-09,UPI,DELIVERED
10158,65,4,2025-10-29,NETBANKING,DELIVERED
10159,54,5,2025-07-11,CARD,RETURNED
10160,72,6,2025-07-22,UPI,DELIVERED
10161,54,6,2025-12-28,UPI,DELIVERED
10162,80,3,2025-08-05,CARD,DELIVERED
10163,59,7,2025-11-21,UPI,RETURNED
