event_id,device_id,sensor_type,reading,event_time
1,108,humidity,56.47,2025-11-04 15:11:08
2,112,humidity,55.62,2025-11-10 08:59:57
3,120,pressure,73.79,2025-11-01 15:01:51
4,124,humidity,51.9,2025-11-10 12:39:45
5,107,humidity,80.08,2025-11-09 03:51:20
6,120,humidity,67.88,2025-11-04 12:32:09
7,126,humidity,56.15,2025-11-02 11:06:28
8,119,pressure,54.25,2025-11-05 23:30:17
9,121,pressure,60.24,2025-11-10 22:35:03
10,110,humidity,71.13,2025-11-06 12:08:03
11,136,humidity,25.4,2025-11-03 09:15:13
12,128,humidity,51.52,2025-11-08 10:53:10
13,127,pressure,29.5,2025-11-06 21:26:38
14,124,humidity,62.28,2025-11-09 14:03:28
15,117,temp,44.27,2025-11-04 12:06:04
16,121,temp,36.85,2025-11-01 04:28:27
17,136,temp,48.72,2025-11-06 16:34:20
18,119,humidity,49.73,2025-11-02 06:09:52
19,123,pressure,61.15,2025-11-08 08:37:20
20,117,temp,56.92,2025-11-10 15:37:37
21,102,humidity,41.7,2025-11-06 10:05:12
22,121,pressure,42.73,2025-11-04 16:13:00
23,128,pressure,33.1,2025-11-01 12:49:19
24,118,pressure,50.83,2025-11-09 00:02:00
25,134,pressure,28.19,2025-11-10 04:07:37
26,103,temp,73.8,2025-11-05 22:14:14
27,134,pressure,47.41,2025-11-04 10:14:19
28,133,temp,26.96,2025-11-01 14:17:40
29,115,humidity,45.52,2025-10-25 11:44:51
30,126,temp,76.71,2025-11-09 16:50:59
31,104,humidity,64.64,2025-11-07 18:36:43
32,124,humidity,64.6,2025-11-09 11:41:22
33,133,temp,56.4,2025-11-10 02:54:49
34,118,pressure,27.8,2025-11-05 04:35:12
35,111,humidity,47.07,2025-11-10 06:57:30
36,109,temp,28.98,2025-11-02 05:04:35
37,127,pressure,49.2,2025-11-10 14:23:13
38,131,humidity,41.94,2025-11-04 14:18:21
39,130,humidity,69.21,2025-11-02 11:41:29
40,113,pressure,85.51,2025-11-04 11:03:54
41,134,pressure,44.15,2025-11-03 09:04:15
42,125,pressure,35.13,2025-11-10 14:29:57
43,121,temp,73.38,2025-11-01 10:21:56
44,126,pressure,53.96,2025-11-01 16:04:24
45,106,pressure,54.88,2025-11-09 07:59:52
46,134,humidity,78.66,2025-11-01 03:16:14
47,107,temp,58.64,2025-11-08 18:19:47
48,119,pressure,40.01,2025-11-06 05:36:56
49,101,pressure,42.26,2025-11-09 09:47:20
50,127,humidity,57.03,2025-11-05 09:58:40
51,125,temp,60.88,2025-11-01 03:53:28
52,132,humidity,35.43,2025-11-10 02:51:27
53,109,pressure,79.9,2025-11-06 13:58:21
