event_id,principal,action,asset_id,event_ts
1,de_team,GRANT,40,2026-02-20 02:17:00
2,ml_team,MODIFY,2,2026-02-03 08:26:00
3,de_team,MODIFY,4,2026-02-02 05:18:00
4,finance_team,GRANT,37,2026-02-05 02:23:00
5,ml_team,DROP,22,2026-02-22 23:44:00
6,ml_team,GRANT,3,2026-02-01 15:58:00
7,finance_team,CREATE,3,2026-02-01 19:40:00
8,analyst_team,DROP,5,2026-02-24 09:20:00
9,ml_team,SELECT,5,2026-02-15 17:23:00
10,analyst_team,MODIFY,22,2026-02-12 02:43:00
11,de_team,SELECT,27,2026-02-26 00:55:00
12,de_team,GRANT,1,2026-02-20 21:24:00
13,de_team,GRANT,1,2026-02-20 02:05:00
14,analyst_team,SELECT,17,2026-02-14 23:21:00
15,de_team,GRANT,30,2026-02-15 14:53:00
16,analyst_team,GRANT,33,2026-02-01 09:38:00
17,analyst_team,DROP,2,2026-02-08 22:07:00
18,de_team,GRANT,32,2026-02-09 00:23:00
19,finance_team,MODIFY,40,2026-02-07 16:10:00
20,finance_team,DROP,32,2026-02-08 10:25:00
21,finance_team,MODIFY,28,2026-02-26 06:56:00
22,ml_team,DROP,15,2026-02-19 10:13:00
23,ml_team,MODIFY,32,2026-02-12 01:45:00
24,analyst_team,CREATE,11,2026-02-04 14:30:00
25,finance_team,MODIFY,27,2026-02-13 20:33:00
26,de_team,CREATE,40,2026-02-15 10:04:00
27,analyst_team,CREATE,39,2026-02-02 21:45:00
28,finance_team,GRANT,23,2026-02-10 20:50:00
29,analyst_team,MODIFY,26,2026-02-15 06:01:00
30,finance_team,MODIFY,10,2026-02-26 01:40:00
31,analyst_team,DROP,7,2026-02-21 17:41:00
32,finance_team,SELECT,13,2026-02-07 15:16:00
33,ml_team,SELECT,31,2026-02-18 22:02:00
34,ml_team,MODIFY,18,2026-02-25 11:34:00
35,ml_team,DROP,15,2026-02-03 13:59:00
36,de_team,MODIFY,29,2026-02-15 06:40:00
37,analyst_team,DROP,36,2026-02-19 20:56:00
38,finance_team,DROP,21,2026-02-21 06:06:00
39,analyst_team,MODIFY,16,2026-02-13 02:19:00
40,finance_team,CREATE,2,2026-02-12 16:05:00
41,analyst_team,DROP,22,2026-02-18 13:49:00
42,finance_team,DROP,2,2026-02-07 02:27:00
43,analyst_team,MODIFY,35,2026-02-11 21:50:00
44,ml_team,DROP,10,2026-02-17 23:33:00
45,de_team,DROP,38,2026-02-23 02:48:00
46,ml_team,DROP,34,2026-02-18 09:53:00
47,ml_team,GRANT,33,2026-02-27 17:16:00
48,finance_team,DROP,40,2026-02-07 09:54:00
49,ml_team,GRANT,34,2026-02-09 18:31:00
50,ml_team,DROP,35,2026-02-04 16:00:00
51,de_team,SELECT,35,2026-02-02 16:58:00
52,de_team,GRANT,37,2026-02-04 15:05:00
53,ml_team,SELECT,35,2026-02-15 13:58:00
54,de_team,CREATE,16,2026-02-16 15:08:00
55,finance_team,DROP,31,2026-02-17 10:06:00
56,ml_team,DROP,40,2026-02-01 08:08:00
57,analyst_team,SELECT,13,2026-02-05 07:00:00
58,finance_team,CREATE,23,2026-02-08 19:31:00
59,analyst_team,DROP,38,2026-02-04 16:39:00
60,finance_team,MODIFY,34,2026-02-14 00:24:00
61,de_team,GRANT,40,2026-02-06 17:13:00
62,ml_team,GRANT,14,2026-02-28 17:39:00
63,ml_team,MODIFY,23,2026-02-06 10:38:00
64,finance_team,MODIFY,14,2026-02-25 06:56:00
65,analyst_team,MODIFY,16,2026-02-05 23:05:00
66,finance_team,DROP,7,2026-02-14 13:34:00
67,ml_team,MODIFY,26,2026-02-21 21:51:00
68,analyst_team,SELECT,13,2026-02-19 21:22:00
69,finance_team,SELECT,33,2026-02-21 10:32:00
70,ml_team,SELECT,31,2026-02-04 00:02:00
71,de_team,MODIFY,13,2026-02-06 03:13:00
72,ml_team,MODIFY,19,2026-02-22 03:37:00
73,analyst_team,MODIFY,30,2026-02-03 03:20:00
74,de_team,DROP,28,2026-02-17 11:27:00
75,ml_team,GRANT,24,2026-02-01 20:44:00
76,analyst_team,MODIFY,12,2026-02-14 14:23:00
77,finance_team,DROP,13,2026-02-20 05:06:00
78,analyst_team,CREATE,6,2026-02-26 22:56:00
79,de_team,GRANT,39,2026-02-07 16:37:00
80,finance_team,CREATE,18,2026-02-04 23:47:00
81,ml_team,DROP,9,2026-02-11 17:44:00
82,finance_team,DROP,12,2026-02-13 06:46:00
83,ml_team,SELECT,22,2026-02-10 15:06:00
84,analyst_team,CREATE,40,2026-02-02 07:17:00
85,finance_team,CREATE,14,2026-02-22 12:36:00
86,ml_team,GRANT,5,2026-02-13 16:31:00
87,ml_team,SELECT,26,2026-02-19 00:07:00
