asset_id,asset_name,layer,domain,sensitivity,status
1,dataset_1,silver,iot,non_pii,active
2,dataset_2,bronze,iot,pii,active
3,dataset_3,silver,hr,pii,active
4,dataset_4,gold,finance,non_pii,deprecated
5,dataset_5,gold,sales,pii,active
6,dataset_6,bronze,finance,pii,active
7,dataset_7,gold,finance,non_pii,deprecated
8,dataset_8,silver,sales,pii,deprecated
9,dataset_9,silver,finance,pii,deprecated
10,dataset_10,gold,hr,non_pii,active
11,dataset_11,gold,hr,non_pii,active
12,dataset_12,gold,hr,pii,active
13,dataset_13,gold,finance,non_pii,active
14,dataset_14,silver,iot,pii,active
15,dataset_15,gold,finance,pii,active
16,dataset_16,bronze,iot,non_pii,deprecated
17,dataset_17,silver,finance,pii,deprecated
18,dataset_18,silver,finance,non_pii,deprecated
19,dataset_19,bronze,iot,pii,active
20,dataset_20,bronze,finance,pii,active
21,dataset_21,silver,iot,pii,active
22,dataset_22,silver,sales,pii,deprecated
23,dataset_23,gold,iot,pii,deprecated
24,dataset_24,silver,sales,pii,deprecated
25,dataset_25,gold,hr,pii,active
26,dataset_26,bronze,iot,pii,active
27,dataset_27,bronze,sales,non_pii,deprecated
28,dataset_28,bronze,hr,non_pii,deprecated
29,dataset_29,bronze,finance,pii,active
30,dataset_30,gold,sales,pii,deprecated
31,dataset_31,silver,iot,pii,deprecated
32,dataset_32,gold,sales,non_pii,active
33,dataset_33,gold,sales,non_pii,active
34,dataset_34,gold,sales,pii,active
35,dataset_35,gold,sales,non_pii,deprecated
36,dataset_36,gold,finance,non_pii,active
37,dataset_37,bronze,finance,pii,deprecated
38,dataset_38,bronze,iot,non_pii,deprecated
39,dataset_39,gold,iot,non_pii,active
40,dataset_40,gold,finance,pii,active
