provider_id,provider_name,provider_type,city
1,provider_1,lab,Nagpur
2,provider_2,lab,Nashik
3,provider_3,clinic,Pune
4,provider_4,lab,Mumbai
5,provider_5,clinic,Pune
6,provider_6,hospital,Mumbai
7,provider_7,clinic,Nashik
8,provider_8,lab,Pune
9,provider_9,hospital,Nagpur
10,provider_10,lab,Nagpur
11,provider_11,hospital,Nagpur
12,provider_12,hospital,Pune
13,provider_13,clinic,Mumbai
14,provider_14,hospital,Pune
15,provider_15,hospital,Nagpur
16,provider_16,lab,Pune
17,provider_17,hospital,Mumbai
18,provider_18,clinic,Mumbai
19,provider_19,hospital,Mumbai
20,provider_20,clinic,Pune
