campaign_id,campaign_name,channel,objective,start_date
1,camp_1,meta,lead,2026-01-26
2,camp_2,youtube,conversion,2026-01-21
3,camp_3,google,lead,2026-01-01
4,camp_4,meta,lead,2026-01-01
5,camp_5,meta,lead,2026-01-02
6,camp_6,linkedin,lead,2026-01-28
7,camp_7,linkedin,conversion,2026-01-16
8,camp_8,linkedin,conversion,2026-01-24
9,camp_9,linkedin,awareness,2026-01-12
10,camp_10,meta,conversion,2026-01-19
11,camp_11,youtube,lead,2026-01-18
12,camp_12,youtube,lead,2026-01-11
13,camp_13,youtube,awareness,2026-01-22
14,camp_14,meta,lead,2026-01-17
15,camp_15,linkedin,awareness,2026-01-24
16,camp_16,linkedin,awareness,2026-01-18
17,camp_17,youtube,awareness,2026-01-23
18,camp_18,linkedin,lead,2026-01-21
19,camp_19,google,conversion,2026-01-22
20,camp_20,google,lead,2026-01-16
21,camp_21,google,lead,2026-01-24
22,camp_22,youtube,conversion,2026-01-01
23,camp_23,youtube,lead,2026-01-09
24,camp_24,youtube,conversion,2026-01-28
25,camp_25,youtube,awareness,2026-01-03
26,camp_26,linkedin,lead,2026-01-21
27,camp_27,youtube,awareness,2026-01-21
28,camp_28,meta,awareness,2026-01-09
29,camp_29,youtube,awareness,2026-01-03
30,camp_30,linkedin,awareness,2026-01-08
31,camp_31,youtube,awareness,2026-01-09
32,camp_32,meta,conversion,2026-01-17
33,camp_33,google,lead,2026-01-12
34,camp_34,google,awareness,2026-01-16
35,camp_35,youtube,awareness,2026-01-10
36,camp_36,linkedin,conversion,2026-01-17
37,camp_37,linkedin,awareness,2026-01-21
38,camp_38,meta,conversion,2026-01-27
39,camp_39,youtube,lead,2026-01-22
40,camp_40,meta,conversion,2026-01-08
