event_id,campaign_id,event_type,revenue,city,event_date
1,18,lead,400.64,Mumbai,2026-01-04
2,31,lead,357.18,Pune,2026-01-26
3,2,lead,235.45,Bangalore,2026-01-21
4,5,click,54.69,Delhi,2026-01-28
5,25,lead,127.11,Delhi,2026-01-23
6,40,click,374.54,Pune,2026-01-14
7,27,purchase,392.68,Pune,2026-01-19
8,17,purchase,319.56,Bangalore,2026-01-08
9,25,lead,19.53,Mumbai,2026-01-16
10,15,click,326.81,Pune,2026-01-23
11,10,purchase,157.98,Delhi,2026-01-23
12,12,impression,323.92,Pune,2026-01-11
13,22,impression,455.76,Delhi,2026-01-18
14,38,lead,481.28,Pune,2026-01-11
15,7,lead,108.75,Bangalore,2026-01-03
16,3,impression,431.25,Pune,2026-01-16
17,34,click,144.15,Delhi,2026-01-08
18,28,lead,199.16,Delhi,2026-01-02
19,23,lead,263.46,Bangalore,2026-01-07
20,27,click,394.83,Pune,2026-01-04
21,28,purchase,237.99,Bangalore,2026-01-25
22,36,lead,293.13,Bangalore,2026-01-01
23,34,impression,94.69,Pune,2026-01-20
24,10,click,275.64,Delhi,2026-01-26
25,38,lead,134.08,Pune,2026-01-23
26,4,purchase,30.37,Pune,2026-01-16
27,13,lead,444.22,Pune,2026-01-18
28,5,impression,134.71,Bangalore,2026-01-28
29,9,purchase,249.11,Mumbai,2026-01-13
30,16,purchase,23.21,Mumbai,2026-01-08
31,4,purchase,201.32,Bangalore,2026-01-03
32,26,purchase,309.53,Mumbai,2026-01-08
33,32,lead,463.06,Pune,2026-01-11
34,20,impression,110.47,Bangalore,2026-01-24
35,26,click,128.71,Pune,2026-01-23
36,18,purchase,103.52,Bangalore,2026-01-07
37,29,purchase,157.77,Pune,2026-01-14
38,20,impression,227.56,Bangalore,2026-01-21
39,36,purchase,329.64,Bangalore,2026-01-22
40,5,click,148.13,Bangalore,2026-01-14
41,14,lead,112.99,Pune,2026-01-18
42,38,lead,281.64,Bangalore,2026-01-01
43,27,lead,383.19,Delhi,2026-01-03
44,40,purchase,110.45,Bangalore,2026-01-10
45,13,purchase,29.89,Pune,2026-01-27
46,14,purchase,33.29,Delhi,2026-01-24
47,24,purchase,125.78,Bangalore,2026-01-18
48,11,impression,68.24,Delhi,2026-01-26
49,33,impression,137.22,Delhi,2026-01-17
50,32,lead,83.53,Bangalore,2026-01-22
51,32,lead,453.08,Bangalore,2026-01-22
52,10,impression,302.92,Bangalore,2026-01-15
53,34,purchase,284.72,Delhi,2026-01-12
54,28,impression,37.67,Delhi,2026-01-18
55,11,lead,414.22,Bangalore,2026-01-23
56,18,click,179.21,Pune,2026-01-18
57,24,purchase,328.62,Mumbai,2026-01-26
58,20,click,103.31,Pune,2026-01-04
59,6,impression,369.5,Delhi,2026-01-01
60,32,impression,347.69,Pune,2026-01-22
61,19,lead,105.65,Delhi,2026-01-23
62,21,lead,405.77,Mumbai,2026-01-28
