order_id,customer_id,order_amount,order_status,updated_at
1,48,929.25,CREATED,2026-02-27
2,69,2066.16,PAID,2026-02-09
3,26,1371.9,PAID,2026-02-26
4,68,370.13,PAID,2026-02-02
5,84,2048.64,PAID,2026-02-04
6,24,3443.68,PAID,2026-01-18
7,93,2167.81,CANCELLED,2026-01-05
8,58,1919.28,PAID,2026-02-23
9,15,2699.22,PAID,2026-01-10
10,24,3452.78,CANCELLED,2026-02-16
11,73,655.3,CREATED,2026-02-11
12,90,3261.51,PAID,2026-02-19
13,43,1009.96,CREATED,2026-01-15
14,91,4547.65,PAID,2026-01-13
15,9,3767.49,PAID,2026-01-01
16,40,2151.22,CREATED,2026-02-23
17,69,2850.46,PAID,2026-02-28
18,49,3268.4,CANCELLED,2026-02-02
19,8,3900.12,CREATED,2026-02-08
20,45,2439.2,PAID,2026-01-11
21,1,2298.83,PAID,2026-02-08
22,76,2835.49,PAID,2026-02-07
23,56,301.74,CANCELLED,2026-01-28
24,7,3744.02,PAID,2026-02-24
25,20,3383.38,PAID,2026-01-11
26,61,1346.86,CREATED,2026-02-03
27,45,4557.5,PAID,2026-01-28
28,64,3771.28,PAID,2026-01-14
29,70,4228.82,CREATED,2026-02-10
30,57,4375.48,CREATED,2026-01-10
31,25,2601.71,PAID,2026-02-07
32,56,2386.48,CREATED,2026-01-26
33,54,4505.1,PAID,2026-01-31
34,62,1546.04,PAID,2026-02-25
35,65,3092.02,PAID,2026-02-21
36,35,2264.13,PAID,2026-01-22
37,57,400.66,CREATED,2026-01-31
38,74,4776.17,CREATED,2026-01-27
39,79,2168.66,CANCELLED,2026-01-25
40,39,2885.28,PAID,2026-02-13
41,5,1745.77,PAID,2026-01-24
42,10,4022.89,PAID,2026-01-17
43,88,112.86,CREATED,2026-01-06
44,100,4303.69,PAID,2026-02-16
45,68,2293.74,CREATED,2026-01-16
46,73,2517.25,PAID,2026-02-02
47,84,1475.28,PAID,2026-01-13
48,49,4400.54,CANCELLED,2026-02-11
49,2,2139.3,PAID,2026-01-10
50,65,4846.47,CANCELLED,2026-01-21
51,17,2025.14,CANCELLED,2026-02-08
52,32,4227.25,PAID,2026-02-17
53,94,3652.6,CANCELLED,2026-02-26
54,45,456.22,PAID,2026-01-02
55,93,1132.07,CREATED,2026-02-13
56,72,3236.35,CANCELLED,2026-01-11
57,24,4980.9,PAID,2026-01-14
58,11,502.83,PAID,2026-02-26
59,36,2052.05,PAID,2026-02-23
60,65,124.85,PAID,2026-02-26
61,62,2439.19,CREATED,2026-01-02
62,8,1401.93,CREATED,2026-01-13
63,24,4994.4,PAID,2026-01-11
64,93,410.89,PAID,2026-01-11
65,97,2952.32,PAID,2026-02-20
66,22,4813.49,PAID,2026-02-19
67,36,4708.34,CANCELLED,2026-02-21
68,98,578.36,CANCELLED,2026-01-11
69,68,4939.11,PAID,2026-03-01
70,92,4939.79,CANCELLED,2026-02-14
71,98,2461.77,PAID,2026-02-09
72,20,3924.85,PAID,2026-02-11
73,28,3676.06,PAID,2026-02-11
74,5,3931.6,CANCELLED,2026-01-04
75,20,1735.39,PAID,2026-02-13
76,34,2746.76,PAID,2026-01-10
77,31,1737.52,CANCELLED,2026-02-22
78,58,3862.72,PAID,2026-02-26
79,74,108.0,PAID,2026-01-25
80,94,2677.62,PAID,2026-02-07
81,82,211.7,CREATED,2026-01-15
82,32,1551.25,CANCELLED,2026-02-04
83,3,242.93,PAID,2026-02-21
84,84,4930.8,CREATED,2026-02-01
85,51,524.75,PAID,2026-01-11
86,19,3141.18,CREATED,2026-02-04
87,22,457.35,REFUNDED,2026-02-16
88,68,2064.94,PAID,2026-01-17
89,76,2569.46,PAID,2026-01-08
90,59,268.78,CREATED,2026-02-05
91,48,2829.21,CREATED,2026-01-21
92,17,4785.5,PAID,2026-02-05
93,13,3332.99,CANCELLED,2026-01-23
94,94,4473.37,REFUNDED,2026-02-25
95,10,4047.19,REFUNDED,2026-01-01
96,77,3722.54,CREATED,2026-02-18
97,68,4500.14,PAID,2026-01-23
98,15,4409.47,PAID,2026-02-27
99,21,4991.12,CREATED,2026-02-17
100,54,929.82,CREATED,2026-01-19
101,16,1727.67,PAID,2026-02-20
102,60,2045.17,REFUNDED,2026-01-29
103,36,4193.34,PAID,2026-01-18
104,49,4937.55,PAID,2026-01-16
105,5,4664.5,PAID,2026-02-01
106,44,1203.3,CANCELLED,2026-02-05
107,73,675.73,PAID,2026-02-21
108,91,3541.33,CANCELLED,2026-02-19
109,55,1877.37,CANCELLED,2026-01-28
110,44,4410.92,PAID,2026-01-18
111,88,2362.41,REFUNDED,2026-03-01
112,78,2297.55,CREATED,2026-01-10
113,51,1182.25,PAID,2026-01-03
114,40,3787.08,CREATED,2026-01-10
115,4,1178.24,PAID,2026-01-03
116,30,1904.95,PAID,2026-02-19
117,13,3884.36,PAID,2026-01-29
118,77,1251.29,CANCELLED,2026-01-07
119,80,1689.42,CREATED,2026-02-20
120,30,445.03,CREATED,2026-02-23
121,9,4157.28,PAID,2026-02-10
122,55,2544.83,PAID,2026-02-04
