sale_id,store_id,amount,sale_date
1,2,1063.22,2026-02-01
2,10,379.51,2026-02-01
3,3,484.72,2026-02-01
4,4,1344.62,2026-02-01
5,4,890.5,2026-02-01
6,1,227.79,2026-02-01
7,8,659.96,2026-02-01
8,10,195.11,2026-02-01
9,1,146.04,2026-02-01
10,7,868.03,2026-02-01
11,8,212.02,2026-02-01
12,3,360.83,2026-02-01
13,6,155.27,2026-02-01
14,8,211.35,2026-02-01
15,5,700.22,2026-02-01
16,5,290.21,2026-02-01
17,2,505.88,2026-02-01
18,6,680.99,2026-02-01
19,9,331.47,2026-02-01
20,5,245.58,2026-02-01
21,3,264.32,2026-02-01
22,7,1414.84,2026-02-01
23,5,555.63,2026-02-01
24,10,710.64,2026-02-01
25,9,1141.77,2026-02-01
26,6,1191.4,2026-02-01
27,5,1058.8,2026-02-01
28,1,1343.32,2026-02-01
29,10,822.35,2026-02-01
30,8,290.69,2026-02-01
31,6,937.73,2026-02-01
32,10,706.0,2026-02-01
33,10,1252.92,2026-02-01
34,4,402.29,2026-02-01
35,8,1031.81,2026-02-01
36,8,64.61,2026-02-01
37,6,605.44,2026-02-01
38,6,551.85,2026-02-01
39,1,186.83,2026-02-01
40,9,1240.26,2026-02-01
41,1,1248.96,2026-02-01
42,4,413.06,2026-02-01
43,1,1081.78,2026-02-01
44,5,1358.02,2026-02-01
45,3,891.12,2026-02-01
46,1,584.71,2026-02-01
47,7,1039.34,2026-02-01
48,6,623.44,2026-02-01
49,2,878.6,2026-02-01
50,7,1009.02,2026-02-01
