order_id,order_line_id,customer_id,product_id,store_id,order_date,quantity,sales_amount
1,1,38,11,5,2026-01-01,1,1173.48
2,2,44,14,8,2026-01-02,3,2419.74
3,3,13,7,4,2026-01-03,2,1594.56
4,4,9,26,3,2026-01-04,4,5120.24
5,5,10,7,3,2026-01-05,1,194.93
6,6,12,17,3,2026-01-06,3,2707.74
7,7,6,17,7,2026-01-07,3,4259.6
8,8,16,19,7,2026-01-08,3,2475.01
9,9,1,13,1,2026-01-09,1,372.25
10,10,17,10,2,2026-01-10,4,5148.46
11,11,2,23,6,2026-01-11,2,904.59
12,12,13,1,7,2026-01-12,2,2162.03
13,13,8,23,6,2026-01-13,2,1712.73
14,14,46,24,9,2026-01-14,2,2856.74
15,15,7,17,9,2026-01-15,3,2922.21
16,16,26,20,6,2026-01-16,4,5092.68
17,17,21,10,6,2026-01-17,3,333.32
18,18,38,17,8,2026-01-18,3,4455.23
19,19,19,29,6,2026-01-19,2,417.6
20,20,21,20,10,2026-01-20,2,1101.96
21,21,12,16,2,2026-01-21,3,4273.84
22,22,43,11,4,2026-01-22,4,450.06
23,23,29,28,10,2026-01-23,4,5007.29
24,24,30,5,4,2026-01-24,2,2611.39
25,25,15,24,4,2026-01-25,2,1431.53
26,26,5,15,4,2026-01-26,3,1374.13
27,27,24,22,7,2026-01-27,3,3671.3
28,28,24,15,2,2026-01-28,1,769.01
29,29,42,29,4,2026-01-29,4,1152.3
30,30,50,4,1,2026-01-30,2,2797.98
31,31,31,25,6,2026-01-31,1,1354.36
32,32,33,25,1,2026-02-01,2,1576.33
33,33,23,17,6,2026-02-02,4,5197.53
34,34,14,15,3,2026-02-03,4,2744.04
35,35,42,23,8,2026-02-04,4,4227.4
36,36,10,16,7,2026-02-05,4,2628.75
37,37,8,8,5,2026-02-06,4,3232.16
38,38,23,29,1,2026-02-07,4,1461.49
39,39,2,15,3,2026-02-08,2,2901.97
40,40,1,14,5,2026-02-09,2,1023.8
41,41,18,16,9,2026-02-10,1,244.84
42,42,9,26,8,2026-02-11,3,906.12
43,43,25,22,7,2026-02-12,4,478.92
44,44,14,21,8,2026-02-13,2,2204.65
45,45,48,26,8,2026-02-14,1,890.3
46,46,43,27,2,2026-02-15,3,3637.23
47,47,9,22,8,2026-02-16,2,1619.82
48,48,31,19,8,2026-02-17,1,1208.55
49,49,8,15,4,2026-02-18,3,3222.21
50,50,4,30,9,2026-02-19,2,2377.98
51,51,7,13,4,2026-02-20,4,2676.3
52,52,22,6,1,2026-02-21,4,4027.52
53,53,50,23,7,2026-02-22,3,1055.14
54,54,4,28,4,2026-02-23,1,550.55
55,55,5,23,1,2026-02-24,1,341.65
56,56,25,13,7,2026-02-25,1,672.09
57,57,50,13,6,2026-02-26,4,1751.94
58,58,44,25,10,2026-02-27,2,1339.38
59,59,13,28,7,2026-02-28,1,1465.31
60,60,27,27,5,2026-03-01,3,1645.34
61,61,17,13,7,2026-03-02,2,2950.97
62,62,46,8,7,2026-03-03,4,3963.31
63,63,42,24,3,2026-03-04,1,625.13
64,64,19,8,3,2026-03-05,2,2600.96
65,65,16,30,5,2026-03-06,3,2902.26
66,66,1,12,2,2026-03-07,4,1811.39
67,67,5,13,3,2026-03-08,1,1210.0
68,68,26,19,4,2026-03-09,2,1412.23
69,69,48,7,10,2026-03-10,3,1801.55
70,70,35,28,4,2026-03-11,3,1687.16
71,71,24,17,7,2026-03-12,2,2152.63
72,72,8,30,8,2026-03-13,4,1904.44
73,73,27,6,1,2026-03-14,3,3694.77
74,74,26,3,4,2026-03-15,3,1540.21
75,75,41,2,4,2026-03-16,2,1723.54
76,76,23,12,7,2026-03-17,4,3132.36
77,77,10,27,9,2026-03-18,2,2595.0
78,78,4,25,7,2026-03-19,2,2687.48
79,79,40,6,6,2026-03-20,3,1074.41
80,80,24,10,2,2026-03-21,2,1838.98
81,81,37,21,4,2026-03-22,3,4072.46
82,82,28,26,3,2026-03-23,4,2898.26
83,83,38,28,7,2026-03-24,2,2781.23
84,84,20,12,4,2026-03-25,4,1962.35
85,85,39,2,7,2026-03-26,2,1904.73
86,86,9,19,8,2026-03-27,1,1055.44
87,87,33,1,3,2026-03-28,2,838.98
88,88,35,27,9,2026-03-29,3,357.82
89,89,11,21,1,2026-03-30,3,2050.24
90,90,24,8,2,2026-03-31,2,2827.75
91,91,16,1,9,2026-04-01,4,2320.96
92,92,48,23,7,2026-04-02,2,2383.28
93,93,24,3,1,2026-04-03,1,344.63
94,94,26,21,1,2026-04-04,2,1157.47
95,95,8,4,2,2026-04-05,1,302.44
96,96,29,7,3,2026-04-06,2,2206.96
97,97,11,13,8,2026-04-07,3,3237.09
98,98,47,8,8,2026-04-08,3,3191.69
99,99,33,7,5,2026-04-09,3,1364.26
100,100,25,20,5,2026-04-10,2,2138.61
101,101,24,16,1,2026-04-11,1,418.22
102,102,2,17,2,2026-04-12,4,2778.04
103,103,50,30,1,2026-04-13,4,2482.76
104,104,14,7,9,2026-04-14,1,597.43
105,105,4,14,6,2026-04-15,4,722.87
106,106,1,5,7,2026-04-16,2,1968.61
107,107,14,24,3,2026-04-17,3,3270.73
108,108,7,23,6,2026-04-18,1,959.02
109,109,22,3,5,2026-04-19,1,1007.64
110,110,7,27,4,2026-04-20,3,1013.75
111,111,3,29,1,2026-04-21,4,1236.9
112,112,13,26,7,2026-04-22,4,3279.38
113,113,28,11,3,2026-04-23,2,2650.93
114,114,22,22,2,2026-04-24,4,1430.14
115,115,12,10,10,2026-04-25,2,1495.95
116,116,8,10,5,2026-04-26,4,2802.02
117,117,14,26,5,2026-04-27,3,2388.61
118,118,9,25,1,2026-04-28,3,978.35
119,119,12,14,10,2026-04-29,2,1158.83
120,120,13,23,9,2026-04-30,2,933.27
121,121,44,30,8,2026-05-01,4,5129.35
122,122,21,21,8,2026-05-02,4,4881.86
123,123,31,13,7,2026-05-03,3,2091.88
124,124,37,19,2,2026-05-04,3,2849.46
125,125,40,11,8,2026-05-05,4,1214.61
126,126,8,12,3,2026-05-06,2,1626.92
127,127,46,10,5,2026-05-07,3,1547.18
128,128,5,5,6,2026-05-08,4,5214.05
129,129,49,17,7,2026-05-09,4,4160.95
130,130,19,17,8,2026-05-10,4,3947.45
131,131,33,20,3,2026-05-11,4,1098.61
132,132,14,11,1,2026-05-12,3,2276.47
133,133,11,21,6,2026-05-13,2,2962.4
134,134,24,26,3,2026-05-14,2,2855.24
135,135,18,4,8,2026-05-15,4,4012.48
136,136,8,10,10,2026-05-16,1,312.41
137,137,25,18,10,2026-05-17,1,994.78
138,138,11,3,8,2026-05-18,2,1783.85
139,139,29,22,2,2026-05-19,1,756.13
140,140,21,30,2,2026-05-20,3,2097.76
141,141,33,5,5,2026-05-21,1,938.98
142,142,13,14,7,2026-05-22,3,3869.87
143,143,2,15,6,2026-05-23,1,1151.57
144,144,31,17,7,2026-05-24,2,1822.21
145,145,42,28,5,2026-05-25,2,2789.17
146,146,25,9,2,2026-05-26,4,762.54
147,147,19,29,2,2026-05-27,1,1487.89
148,148,34,3,6,2026-05-28,4,696.77
149,149,3,4,2,2026-05-29,4,1517.18
150,150,45,14,3,2026-05-30,3,2075.56
151,151,29,10,7,2026-05-31,4,1002.05
152,152,40,26,3,2026-06-01,4,3892.55
153,153,35,5,4,2026-06-02,3,501.57
154,154,11,5,4,2026-06-03,1,498.47
155,155,33,9,3,2026-06-04,3,556.35
156,156,42,19,4,2026-06-05,4,4339.71
157,157,19,2,1,2026-06-06,3,3107.52
158,158,23,7,1,2026-06-07,1,630.01
159,159,7,20,2,2026-06-08,1,363.47
160,160,3,15,6,2026-06-09,2,2291.61
161,161,8,9,1,2026-06-10,4,2306.12
162,162,40,26,6,2026-06-11,2,2426.84
163,163,49,8,9,2026-06-12,3,2349.18
164,164,16,17,9,2026-06-13,1,835.94
165,165,6,6,1,2026-06-14,4,559.55
166,166,18,3,1,2026-06-15,2,2003.85
167,167,43,3,1,2026-06-16,1,590.92
168,168,21,29,10,2026-06-17,2,841.77
169,169,49,15,9,2026-06-18,3,2122.31
170,170,23,12,6,2026-06-19,2,1270.91
171,171,38,27,10,2026-06-20,1,757.7
172,172,14,11,4,2026-06-21,4,5885.11
173,173,50,27,5,2026-06-22,4,2440.52
174,174,34,9,1,2026-06-23,2,2368.35
175,175,21,22,10,2026-06-24,2,1747.75
176,176,11,27,9,2026-06-25,2,2689.57
177,177,33,17,7,2026-06-26,4,2387.74
178,178,26,29,4,2026-06-27,3,1331.18
179,179,22,6,10,2026-06-28,3,4126.28
180,180,40,10,10,2026-06-29,2,321.9
181,181,33,14,1,2026-06-30,2,2862.11
182,182,20,9,9,2026-07-01,2,1757.94
183,183,26,11,2,2026-07-02,3,1880.73
184,184,50,12,7,2026-07-03,4,5972.29
185,185,15,23,7,2026-07-04,2,363.42
186,186,14,7,2,2026-07-05,3,2470.17
187,187,21,1,4,2026-07-06,3,430.61
188,188,44,15,8,2026-07-07,2,1799.29
189,189,7,5,4,2026-07-08,1,352.66
190,190,14,24,3,2026-07-09,4,3933.37
191,191,16,12,4,2026-07-10,2,2946.59
192,192,25,4,1,2026-07-11,4,5299.45
193,193,10,28,3,2026-07-12,1,732.57
194,194,3,1,9,2026-07-13,1,1091.85
195,195,8,15,3,2026-07-14,4,4753.83
196,196,6,28,10,2026-07-15,4,3171.12
197,197,37,18,1,2026-07-16,3,2519.84
198,198,38,7,2,2026-07-17,4,1244.39
199,199,22,27,4,2026-07-18,1,617.16
200,200,41,1,10,2026-07-19,2,598.22
201,201,14,23,5,2026-07-20,3,3352.95
202,202,28,2,9,2026-07-21,1,767.82
203,203,50,7,9,2026-07-22,4,2913.72
204,204,50,5,9,2026-07-23,1,1340.4
205,205,48,19,3,2026-07-24,2,1677.33
206,206,14,28,9,2026-07-25,3,2018.18
207,207,41,29,7,2026-07-26,3,1429.35
208,208,15,6,5,2026-07-27,4,803.27
209,209,46,21,10,2026-07-28,2,1370.78
210,210,24,7,1,2026-07-29,2,272.11
211,211,17,19,6,2026-07-30,2,1015.23
212,212,29,26,6,2026-07-31,3,2414.74
213,213,43,19,7,2026-08-01,1,1452.31
214,214,46,15,2,2026-08-02,4,1012.54
215,215,4,8,8,2026-08-03,4,4169.03
216,216,3,22,7,2026-08-04,2,1599.81
217,217,15,17,6,2026-08-05,1,1187.94
218,218,47,8,8,2026-08-06,2,602.1
219,219,1,30,2,2026-08-07,1,216.48
220,220,30,12,10,2026-08-08,3,1976.72
221,221,12,30,8,2026-08-09,1,1215.75
222,222,36,28,6,2026-08-10,4,1473.38
223,223,30,27,7,2026-08-11,3,3524.66
224,224,34,15,8,2026-08-12,4,2025.67
225,225,3,9,7,2026-08-13,4,1614.59
226,226,21,9,8,2026-08-14,2,246.8
227,227,20,9,6,2026-08-15,2,1316.25
228,228,49,17,7,2026-08-16,4,2534.06
229,229,33,24,9,2026-08-17,3,3069.25
230,230,29,3,8,2026-08-18,3,597.86
231,231,19,29,5,2026-08-19,4,1254.58
232,232,32,1,3,2026-08-20,1,123.21
233,233,29,8,5,2026-08-21,1,259.31
234,234,31,13,1,2026-08-22,4,4050.02
235,235,11,18,1,2026-08-23,1,663.72
236,236,9,27,4,2026-08-24,1,549.44
237,237,46,2,6,2026-08-25,3,2643.23
238,238,36,11,10,2026-08-26,3,4472.53
239,239,33,29,1,2026-08-27,3,3804.84
240,240,9,10,4,2026-08-28,3,3238.42
241,241,21,12,7,2026-08-29,1,1385.56
242,242,14,6,6,2026-08-30,4,622.48
243,243,16,18,2,2026-08-31,4,793.87
244,244,42,6,2,2026-09-01,3,2290.83
245,245,1,26,9,2026-09-02,3,1766.5
246,246,45,11,5,2026-09-03,4,5648.61
247,247,20,23,8,2026-09-04,4,3141.56
248,248,25,21,1,2026-09-05,1,855.51
249,249,50,26,2,2026-09-06,2,2706.73
250,250,43,25,8,2026-09-07,4,2901.16
251,251,21,15,2,2026-09-08,3,3983.54
252,252,45,24,6,2026-09-09,3,1365.04
253,253,16,27,5,2026-09-10,4,1933.33
254,254,31,22,6,2026-09-11,3,1679.12
255,255,28,18,7,2026-09-12,1,866.59
256,256,15,11,3,2026-09-13,2,816.36
257,257,20,9,6,2026-09-14,3,3120.0
258,258,27,17,4,2026-09-15,4,1199.64
259,259,44,22,10,2026-09-16,2,463.48
260,260,23,20,4,2026-09-17,2,2636.54
261,261,8,13,10,2026-09-18,2,863.23
262,262,36,26,6,2026-09-19,3,1921.22
263,263,48,14,2,2026-09-20,3,2700.48
264,264,47,17,10,2026-09-21,2,1672.25
265,265,35,5,8,2026-09-22,1,206.43
266,266,37,25,8,2026-09-23,3,3971.33
267,267,37,23,1,2026-09-24,4,5726.36
268,268,33,28,9,2026-09-25,4,4950.04
269,269,20,19,7,2026-09-26,1,497.32
270,270,4,5,2,2026-09-27,2,1677.97
271,271,25,4,3,2026-09-28,4,2300.73
272,272,20,27,1,2026-09-29,3,2629.6
273,273,38,13,5,2026-09-30,3,4392.49
274,274,31,3,5,2026-10-01,2,1072.77
275,275,39,13,7,2026-10-02,4,4145.26
276,276,48,1,2,2026-10-03,2,1112.71
277,277,40,1,1,2026-10-04,3,3552.8
278,278,6,30,10,2026-10-05,1,556.13
279,279,16,16,5,2026-10-06,4,5383.03
280,280,50,5,10,2026-10-07,1,1152.39
281,281,24,27,4,2026-10-08,2,2335.37
282,282,33,11,1,2026-10-09,2,1514.54
283,283,43,13,6,2026-10-10,3,1185.21
284,284,11,19,2,2026-10-11,3,474.2
285,285,3,28,2,2026-10-12,1,550.56
286,286,25,6,10,2026-10-13,4,607.83
287,287,35,17,7,2026-10-14,1,1071.4
288,288,31,1,1,2026-10-15,3,3115.47
289,289,18,29,3,2026-10-16,2,1405.32
290,290,5,12,9,2026-10-17,3,3524.71
291,291,1,13,4,2026-10-18,4,3401.65
292,292,15,12,8,2026-10-19,4,623.22
293,293,18,4,3,2026-10-20,1,288.71
294,294,40,13,6,2026-10-21,3,1112.35
295,295,36,25,7,2026-10-22,2,1139.86
296,296,18,16,1,2026-10-23,3,519.71
297,297,29,22,5,2026-10-24,1,947.16
298,298,23,20,3,2026-10-25,3,2450.66
299,299,39,14,4,2026-10-26,3,2893.34
300,300,42,2,2,2026-10-27,1,705.3
