id,user_id,amount,event_time
1,14,303.25,2026-01-01 00:00:00
2,26,268.36,2026-01-01 01:00:00
3,4,316.16,2026-01-01 02:00:00
4,26,428.97,2026-01-01 03:00:00
5,27,148.25,2026-01-01 04:00:00
6,8,443.04,2026-01-01 05:00:00
7,15,288.17,2026-01-01 06:00:00
8,18,66.4,2026-01-01 07:00:00
9,30,121.23,2026-01-01 08:00:00
10,17,302.03,2026-01-01 09:00:00
11,15,127.33,2026-01-01 10:00:00
12,14,74.39,2026-01-01 11:00:00
13,20,89.31,2026-01-01 12:00:00
14,16,423.99,2026-01-01 13:00:00
15,2,305.07,2026-01-01 14:00:00
16,10,482.15,2026-01-01 15:00:00
17,4,179.38,2026-01-01 16:00:00
18,26,301.86,2026-01-01 17:00:00
19,30,303.5,2026-01-01 18:00:00
20,20,311.7,2026-01-01 19:00:00
21,3,39.0,2026-01-01 20:00:00
22,23,377.66,2026-01-01 21:00:00
23,2,474.62,2026-01-01 22:00:00
24,24,271.99,2026-01-01 23:00:00
25,4,104.35,2026-01-02 00:00:00
26,30,378.93,2026-01-02 01:00:00
27,15,13.59,2026-01-02 02:00:00
28,8,170.85,2026-01-02 03:00:00
29,1,459.63,2026-01-02 04:00:00
30,4,298.3,2026-01-02 05:00:00
31,4,429.04,2026-01-02 06:00:00
32,25,306.29,2026-01-02 07:00:00
33,26,413.06,2026-01-02 08:00:00
34,1,440.95,2026-01-02 09:00:00
35,15,167.28,2026-01-02 10:00:00
36,26,70.25,2026-01-02 11:00:00
37,22,363.44,2026-01-02 12:00:00
38,29,225.77,2026-01-02 13:00:00
39,4,72.1,2026-01-02 14:00:00
40,5,299.01,2026-01-02 15:00:00
41,21,27.67,2026-01-02 16:00:00
42,27,108.09,2026-01-02 17:00:00
43,1,396.27,2026-01-02 18:00:00
44,9,15.93,2026-01-02 19:00:00
45,15,158.64,2026-01-02 20:00:00
46,15,20.47,2026-01-02 21:00:00
47,9,498.77,2026-01-02 22:00:00
48,16,295.19,2026-01-02 23:00:00
49,28,153.75,2026-01-03 00:00:00
50,8,465.19,2026-01-03 01:00:00
51,25,258.49,2026-01-03 02:00:00
52,11,232.8,2026-01-03 03:00:00
53,15,298.06,2026-01-03 04:00:00
54,30,139.43,2026-01-03 05:00:00
55,20,159.59,2026-01-03 06:00:00
56,19,192.11,2026-01-03 07:00:00
57,15,129.78,2026-01-03 08:00:00
58,11,296.43,2026-01-03 09:00:00
59,4,350.96,2026-01-03 10:00:00
60,18,45.25,2026-01-03 11:00:00
61,30,485.83,2026-01-03 12:00:00
62,16,379.0,2026-01-03 13:00:00
63,26,405.02,2026-01-03 14:00:00
64,26,378.3,2026-01-03 15:00:00
65,5,49.23,2026-01-03 16:00:00
66,6,246.03,2026-01-03 17:00:00
67,10,228.38,2026-01-03 18:00:00
68,5,339.51,2026-01-03 19:00:00
69,9,229.88,2026-01-03 20:00:00
70,23,355.11,2026-01-03 21:00:00
71,30,344.01,2026-01-03 22:00:00
72,28,351.6,2026-01-03 23:00:00
73,22,313.11,2026-01-04 00:00:00
74,17,83.98,2026-01-04 01:00:00
75,9,382.79,2026-01-04 02:00:00
76,30,392.71,2026-01-04 03:00:00
77,7,453.01,2026-01-04 04:00:00
78,7,124.55,2026-01-04 05:00:00
79,15,96.57,2026-01-04 06:00:00
80,25,201.64,2026-01-04 07:00:00
81,23,167.08,2026-01-04 08:00:00
82,11,409.58,2026-01-04 09:00:00
83,5,310.63,2026-01-04 10:00:00
84,1,382.4,2026-01-04 11:00:00
85,5,219.56,2026-01-04 12:00:00
86,13,58.73,2026-01-04 13:00:00
87,6,66.37,2026-01-04 14:00:00
88,21,192.97,2026-01-04 15:00:00
89,10,104.99,2026-01-04 16:00:00
90,19,412.17,2026-01-04 17:00:00
91,17,303.82,2026-01-04 18:00:00
92,19,347.53,2026-01-04 19:00:00
93,4,250.64,2026-01-04 20:00:00
94,7,53.21,2026-01-04 21:00:00
95,9,125.19,2026-01-04 22:00:00
96,16,236.19,2026-01-04 23:00:00
97,8,107.31,2026-01-05 00:00:00
98,3,22.48,2026-01-05 01:00:00
99,18,367.4,2026-01-05 02:00:00
100,4,365.21,2026-01-05 03:00:00
