id,user_id,amount,event_time
1,7,346.02,2026-01-01 00:00:00
2,11,184.05,2026-01-01 01:00:00
3,24,487.36,2026-01-01 02:00:00
4,27,70.16,2026-01-01 03:00:00
5,9,101.91,2026-01-01 04:00:00
6,19,445.83,2026-01-01 05:00:00
7,9,295.87,2026-01-01 06:00:00
8,6,161.53,2026-01-01 07:00:00
9,17,10.37,2026-01-01 08:00:00
10,29,121.52,2026-01-01 09:00:00
11,16,81.25,2026-01-01 10:00:00
12,9,109.68,2026-01-01 11:00:00
13,11,449.2,2026-01-01 12:00:00
14,19,437.82,2026-01-01 13:00:00
15,11,353.14,2026-01-01 14:00:00
16,9,240.54,2026-01-01 15:00:00
17,26,415.3,2026-01-01 16:00:00
18,5,252.95,2026-01-01 17:00:00
19,18,188.11,2026-01-01 18:00:00
20,19,145.05,2026-01-01 19:00:00
21,18,463.12,2026-01-01 20:00:00
22,23,199.62,2026-01-01 21:00:00
23,15,251.51,2026-01-01 22:00:00
24,14,134.67,2026-01-01 23:00:00
25,22,443.63,2026-01-02 00:00:00
26,17,197.8,2026-01-02 01:00:00
27,23,155.81,2026-01-02 02:00:00
28,18,361.62,2026-01-02 03:00:00
29,17,103.53,2026-01-02 04:00:00
30,18,67.91,2026-01-02 05:00:00
31,20,420.13,2026-01-02 06:00:00
32,15,374.63,2026-01-02 07:00:00
33,11,299.36,2026-01-02 08:00:00
34,22,129.02,2026-01-02 09:00:00
35,5,315.39,2026-01-02 10:00:00
36,8,322.79,2026-01-02 11:00:00
37,23,170.51,2026-01-02 12:00:00
38,28,43.07,2026-01-02 13:00:00
39,21,441.46,2026-01-02 14:00:00
40,3,235.38,2026-01-02 15:00:00
41,10,384.3,2026-01-02 16:00:00
42,4,134.41,2026-01-02 17:00:00
43,19,299.78,2026-01-02 18:00:00
44,25,220.11,2026-01-02 19:00:00
45,14,197.23,2026-01-02 20:00:00
46,27,72.09,2026-01-02 21:00:00
47,12,129.69,2026-01-02 22:00:00
48,21,48.88,2026-01-02 23:00:00
49,14,158.4,2026-01-03 00:00:00
50,3,373.44,2026-01-03 01:00:00
51,22,311.36,2026-01-03 02:00:00
52,18,339.48,2026-01-03 03:00:00
53,27,14.11,2026-01-03 04:00:00
54,3,342.4,2026-01-03 05:00:00
55,30,256.56,2026-01-03 06:00:00
56,28,123.15,2026-01-03 07:00:00
57,22,95.7,2026-01-03 08:00:00
58,20,100.64,2026-01-03 09:00:00
59,29,423.69,2026-01-03 10:00:00
60,4,491.47,2026-01-03 11:00:00
61,20,457.73,2026-01-03 12:00:00
62,29,180.21,2026-01-03 13:00:00
63,3,392.31,2026-01-03 14:00:00
64,28,277.76,2026-01-03 15:00:00
65,11,410.06,2026-01-03 16:00:00
66,9,247.03,2026-01-03 17:00:00
67,12,299.08,2026-01-03 18:00:00
68,18,395.76,2026-01-03 19:00:00
69,28,59.11,2026-01-03 20:00:00
70,26,273.13,2026-01-03 21:00:00
71,23,189.33,2026-01-03 22:00:00
72,5,306.11,2026-01-03 23:00:00
73,15,479.81,2026-01-04 00:00:00
74,4,202.48,2026-01-04 01:00:00
75,29,202.56,2026-01-04 02:00:00
76,21,397.41,2026-01-04 03:00:00
77,9,326.09,2026-01-04 04:00:00
78,12,203.0,2026-01-04 05:00:00
79,4,347.59,2026-01-04 06:00:00
80,9,207.96,2026-01-04 07:00:00
81,24,76.7,2026-01-04 08:00:00
82,18,230.82,2026-01-04 09:00:00
83,20,173.87,2026-01-04 10:00:00
84,15,116.8,2026-01-04 11:00:00
85,29,463.63,2026-01-04 12:00:00
86,21,347.92,2026-01-04 13:00:00
87,1,303.42,2026-01-04 14:00:00
88,3,375.86,2026-01-04 15:00:00
89,20,275.57,2026-01-04 16:00:00
90,28,353.26,2026-01-04 17:00:00
91,21,465.97,2026-01-04 18:00:00
92,19,432.68,2026-01-04 19:00:00
93,17,92.05,2026-01-04 20:00:00
94,28,138.94,2026-01-04 21:00:00
95,11,45.09,2026-01-04 22:00:00
96,29,489.55,2026-01-04 23:00:00
97,15,125.83,2026-01-05 00:00:00
98,16,333.69,2026-01-05 01:00:00
99,27,53.92,2026-01-05 02:00:00
100,6,113.28,2026-01-05 03:00:00
