id,user_id,amount,event_time
1,26,22.7,2026-01-01 00:00:00
2,1,236.15,2026-01-01 01:00:00
3,7,147.84,2026-01-01 02:00:00
4,1,24.19,2026-01-01 03:00:00
5,8,443.49,2026-01-01 04:00:00
6,21,387.79,2026-01-01 05:00:00
7,7,171.57,2026-01-01 06:00:00
8,18,400.31,2026-01-01 07:00:00
9,28,169.07,2026-01-01 08:00:00
10,30,160.86,2026-01-01 09:00:00
11,19,464.77,2026-01-01 10:00:00
12,7,488.69,2026-01-01 11:00:00
13,4,266.54,2026-01-01 12:00:00
14,11,476.45,2026-01-01 13:00:00
15,19,445.12,2026-01-01 14:00:00
16,28,263.84,2026-01-01 15:00:00
17,17,192.65,2026-01-01 16:00:00
18,22,358.07,2026-01-01 17:00:00
19,18,233.27,2026-01-01 18:00:00
20,26,306.55,2026-01-01 19:00:00
21,12,495.3,2026-01-01 20:00:00
22,15,389.22,2026-01-01 21:00:00
23,11,173.8,2026-01-01 22:00:00
24,7,53.61,2026-01-01 23:00:00
25,9,100.6,2026-01-02 00:00:00
26,26,268.16,2026-01-02 01:00:00
27,3,214.38,2026-01-02 02:00:00
28,23,402.32,2026-01-02 03:00:00
29,26,467.27,2026-01-02 04:00:00
30,23,97.15,2026-01-02 05:00:00
31,2,431.43,2026-01-02 06:00:00
32,1,479.12,2026-01-02 07:00:00
33,13,480.14,2026-01-02 08:00:00
34,7,28.55,2026-01-02 09:00:00
35,6,38.22,2026-01-02 10:00:00
36,21,12.84,2026-01-02 11:00:00
37,6,163.21,2026-01-02 12:00:00
38,25,37.29,2026-01-02 13:00:00
39,15,153.99,2026-01-02 14:00:00
40,21,184.45,2026-01-02 15:00:00
41,23,477.3,2026-01-02 16:00:00
42,1,243.71,2026-01-02 17:00:00
43,6,146.34,2026-01-02 18:00:00
44,23,256.47,2026-01-02 19:00:00
45,28,325.25,2026-01-02 20:00:00
46,8,64.51,2026-01-02 21:00:00
47,6,381.45,2026-01-02 22:00:00
48,26,427.45,2026-01-02 23:00:00
49,17,423.68,2026-01-03 00:00:00
50,5,446.35,2026-01-03 01:00:00
51,1,197.1,2026-01-03 02:00:00
52,14,227.46,2026-01-03 03:00:00
53,7,59.77,2026-01-03 04:00:00
54,26,120.65,2026-01-03 05:00:00
55,21,485.95,2026-01-03 06:00:00
56,21,149.47,2026-01-03 07:00:00
57,1,454.62,2026-01-03 08:00:00
58,6,446.37,2026-01-03 09:00:00
59,16,462.03,2026-01-03 10:00:00
60,6,86.51,2026-01-03 11:00:00
61,2,441.06,2026-01-03 12:00:00
62,1,319.68,2026-01-03 13:00:00
63,22,113.21,2026-01-03 14:00:00
64,22,179.11,2026-01-03 15:00:00
65,22,88.36,2026-01-03 16:00:00
66,13,227.73,2026-01-03 17:00:00
67,17,51.05,2026-01-03 18:00:00
68,23,91.01,2026-01-03 19:00:00
69,1,106.63,2026-01-03 20:00:00
70,2,348.6,2026-01-03 21:00:00
71,20,291.16,2026-01-03 22:00:00
72,24,437.93,2026-01-03 23:00:00
73,23,129.87,2026-01-04 00:00:00
74,17,318.51,2026-01-04 01:00:00
75,23,26.87,2026-01-04 02:00:00
76,10,262.94,2026-01-04 03:00:00
77,13,432.98,2026-01-04 04:00:00
78,22,492.22,2026-01-04 05:00:00
79,11,14.84,2026-01-04 06:00:00
80,18,133.89,2026-01-04 07:00:00
81,28,119.69,2026-01-04 08:00:00
82,15,33.29,2026-01-04 09:00:00
83,8,14.98,2026-01-04 10:00:00
84,21,250.2,2026-01-04 11:00:00
85,30,32.29,2026-01-04 12:00:00
86,13,146.38,2026-01-04 13:00:00
87,8,323.59,2026-01-04 14:00:00
88,7,154.4,2026-01-04 15:00:00
89,19,142.13,2026-01-04 16:00:00
90,1,299.37,2026-01-04 17:00:00
91,11,196.46,2026-01-04 18:00:00
92,13,354.24,2026-01-04 19:00:00
93,6,253.1,2026-01-04 20:00:00
94,21,320.27,2026-01-04 21:00:00
95,12,183.16,2026-01-04 22:00:00
96,16,150.65,2026-01-04 23:00:00
97,25,75.27,2026-01-05 00:00:00
98,30,469.17,2026-01-05 01:00:00
99,3,404.37,2026-01-05 02:00:00
100,15,469.63,2026-01-05 03:00:00
