file,size_mb,zone,created_date
sales_1.csv,19,silver,2026-01-01
sales_2.csv,212,bronze,2026-01-02
sales_3.csv,218,gold,2026-01-03
sales_4.csv,217,bronze,2026-01-04
sales_5.csv,185,gold,2026-01-05
sales_6.csv,171,raw,2026-01-06
sales_7.csv,133,silver,2026-01-07
sales_8.csv,140,silver,2026-01-08
sales_9.csv,25,raw,2026-01-09
sales_10.csv,243,raw,2026-01-10
sales_11.csv,151,bronze,2026-01-11
sales_12.csv,117,gold,2026-01-12
sales_13.csv,135,raw,2026-01-13
sales_14.csv,133,silver,2026-01-14
sales_15.csv,208,raw,2026-01-15
sales_16.csv,157,raw,2026-01-16
sales_17.csv,54,silver,2026-01-17
sales_18.csv,159,raw,2026-01-18
sales_19.csv,104,gold,2026-01-19
sales_20.csv,113,bronze,2026-01-20
