file,size_mb,zone,created_date
sales_1.csv,157,gold,2026-01-01
sales_2.csv,169,silver,2026-01-02
sales_3.csv,176,raw,2026-01-03
sales_4.csv,152,gold,2026-01-04
sales_5.csv,157,gold,2026-01-05
sales_6.csv,213,bronze,2026-01-06
sales_7.csv,90,raw,2026-01-07
sales_8.csv,166,bronze,2026-01-08
sales_9.csv,6,gold,2026-01-09
sales_10.csv,241,raw,2026-01-10
sales_11.csv,24,gold,2026-01-11
sales_12.csv,114,raw,2026-01-12
sales_13.csv,197,raw,2026-01-13
sales_14.csv,149,raw,2026-01-14
sales_15.csv,142,raw,2026-01-15
sales_16.csv,185,raw,2026-01-16
sales_17.csv,30,raw,2026-01-17
sales_18.csv,115,silver,2026-01-18
sales_19.csv,157,bronze,2026-01-19
sales_20.csv,243,bronze,2026-01-20
