file,size_mb,zone,created_date
sales_1.csv,223,gold,2026-01-01
sales_2.csv,40,gold,2026-01-02
sales_3.csv,91,silver,2026-01-03
sales_4.csv,79,silver,2026-01-04
sales_5.csv,62,gold,2026-01-05
sales_6.csv,107,raw,2026-01-06
sales_7.csv,239,silver,2026-01-07
sales_8.csv,58,bronze,2026-01-08
sales_9.csv,134,raw,2026-01-09
sales_10.csv,205,raw,2026-01-10
sales_11.csv,154,gold,2026-01-11
sales_12.csv,208,bronze,2026-01-12
sales_13.csv,123,gold,2026-01-13
sales_14.csv,94,bronze,2026-01-14
sales_15.csv,38,gold,2026-01-15
sales_16.csv,173,raw,2026-01-16
sales_17.csv,189,silver,2026-01-17
sales_18.csv,144,raw,2026-01-18
sales_19.csv,93,raw,2026-01-19
sales_20.csv,42,raw,2026-01-20
